অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,NFIN	অ,ন,ু,র,ো,ধ, ,ক,র,ত,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,2,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,ল,ো
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,1,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,া,ম
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,2,POL,FUT	অ,ন,ু,র,ো,ধ, ,ক,র,ব,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,3,INFM,FUT	অ,ন,ু,র,ো,ধ, ,ক,র,ব,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,ল,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,2,PRS,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,স
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,2,PRS,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,স
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,2,POL,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,HAB,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ত,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,HAB,1,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ত,া,ম
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,3,INFM,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,ল,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,1,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ল,া,ম
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,2,PST,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ল,ি
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,2,PST,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,ল,ি
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,3,POL,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,1,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ি
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,2,PRS,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ি,স
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,1,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,HAB,2,PST,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ত,ি,স
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,3,INFM,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ল,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,1,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ল,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,2,PST,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,ি
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,3,INFM,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ো
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,2,FUT,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ব,ি
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,1,FUT	অ,ন,ু,র,ো,ধ, ,ক,র,ব,ো
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,3,POL,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,HAB,2,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ত,ো
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,3,POL,FUT	অ,ন,ু,র,ো,ধ, ,ক,র,ব,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,1,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,ল,া,ম
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,3,INFM,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,HAB,3,INFM,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ত,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,3,POL,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,2,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ল,ো
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,2,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,ো
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,3,INFM,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ো
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,2,POL,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,2,POL,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,3,INFM,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ো
উ,প,জ,ে,ল,া,$,N,NOM,DEF,PL	উ,প,জ,ে,ল,া,গ,ু,ল,া
উ,প,জ,ে,ল,া,$,N,ACC,DEF,PL	উ,প,জ,ে,ল,া,গ,ু,ল,া
উ,প,জ,ে,ল,া,$,N,ACC,DEF,SG	উ,প,জ,ে,ল,া,ট,া
উ,প,জ,ে,ল,া,$,N,ACC,NDEF	উ,প,জ,ে,ল,া
উ,প,জ,ে,ল,া,$,N,LOC,DEF,SG	উ,প,জ,ে,ল,া,ট,া,ত,ে
উ,প,জ,ে,ল,া,$,N,GEN,DEF,SG	উ,প,জ,ে,ল,া,ট,া,র
উ,প,জ,ে,ল,া,$,N,GEN,DEF,PL	উ,প,জ,ে,ল,া,গ,ু,ল,া,র
উ,প,জ,ে,ল,া,$,N,LOC,NDEF	উ,প,জ,ে,ল,া,ত,ে
উ,প,জ,ে,ল,া,$,N,NOM,DEF,SG	উ,প,জ,ে,ল,া,ট,া
উ,প,জ,ে,ল,া,$,N,LOC,DEF,PL	উ,প,জ,ে,ল,া,গ,ু,ল,া,ত,ে
উ,প,জ,ে,ল,া,$,N,NOM,NDEF	উ,প,জ,ে,ল,া
উ,প,জ,ে,ল,া,$,N,GEN,NDEF	উ,প,জ,ে,ল,া,র
চ,ে,ন,া,$,V,HAB,3,POL,PST	চ,ি,ন,ত,ে,ন
চ,ে,ন,া,$,V,1,PST	চ,ি,ন,ল,া,ম
চ,ে,ন,া,$,V,HAB,2,POL,PST	চ,ি,ন,ত,ো
চ,ে,ন,া,$,V,2,FUT,LGSPEC1	চ,ি,ন,ব,ি
চ,ে,ন,া,$,V,3,POL,FUT	চ,ি,ন,ব,ে,ন
চ,ে,ন,া,$,V,PROG,2,PST,LGSPEC1	চ,ি,ন,ছ,ি,ল,ি
চ,ে,ন,া,$,V,PROG,3,INFM,PRS	চ,ি,ন,ছ,ো
চ,ে,ন,া,$,V,2,POL,PST	চ,ি,ন,ল,ো
চ,ে,ন,া,$,V,2,PST,LGSPEC1	চ,ি,ন,ল,ি
চ,ে,ন,া,$,V,3,INFM,PRS	চ,ে,ন,ো
চ,ে,ন,া,$,V,PROG,2,PRS,LGSPEC1	চ,ি,ন,ছ,ি,স
চ,ে,ন,া,$,V,2,PRS,LGSPEC1	চ,ি,ন,ি,স
চ,ে,ন,া,$,V,3,POL,PRS	চ,ে,ন,ে,ন
চ,ে,ন,া,$,V,PROG,2,POL,PRS	চ,ি,ন,ছ,ে
চ,ে,ন,া,$,V,1,PRS	চ,ি,ন,ি
চ,ে,ন,া,$,V,HAB,2,PST,LGSPEC1	চ,ি,ন,ত,ি,স
চ,ে,ন,া,$,V,PRF,2,PST,LGSPEC1	চ,ি,ন,ে,ছ,ি,ল,ি
চ,ে,ন,া,$,V,HAB,1,PST	চ,ি,ন,ত,া,ম
চ,ে,ন,া,$,V,NFIN	চ,ি,ন,ত,ে
চ,ে,ন,া,$,V,PRF,1,PRS	চ,ি,ন,ে,ছ,ি
চ,ে,ন,া,$,V,3,INFM,FUT	চ,ি,ন,ব,ে
চ,ে,ন,া,$,V,PRF,2,PRS,LGSPEC1	চ,ি,ন,ে,ছ,ি,স
চ,ে,ন,া,$,V,PRF,3,INFM,PRS	চ,ি,ন,ে,ছ,ো
চ,ে,ন,া,$,V,PRF,3,POL,PRS	চ,ি,ন,ে,ছ,ে,ন
চ,ে,ন,া,$,V,HAB,3,INFM,PST	চ,ি,ন,ত,ে
চ,ে,ন,া,$,V,3,POL,PST	চ,ি,ন,ল,ে,ন
চ,ে,ন,া,$,V,PROG,1,PST	চ,ি,ন,ছ,ি,ল,া,ম
চ,ে,ন,া,$,V,PROG,3,INFM,PST	চ,ি,ন,ছ,ি,ল,ে
চ,ে,ন,া,$,V,PROG,1,PRS	চ,ি,ন,ছ,ি
চ,ে,ন,া,$,V,PROG,3,POL,PST	চ,ি,ন,ছ,ি,ল,ে,ন
চ,ে,ন,া,$,V,PRF,2,POL,PRS	চ,ি,ন,ে,ছ,ে
চ,ে,ন,া,$,V,PRF,2,POL,PST	চ,ি,ন,ে,ছ,ি,ল,ো
চ,ে,ন,া,$,V,PROG,2,POL,PST	চ,ি,ন,ছ,ি,ল,ো
চ,ে,ন,া,$,V,PRF,3,INFM,PST	চ,ি,ন,ে,ছ,ি,ল,ে
চ,ে,ন,া,$,V,2,POL,PRS	চ,ে,ন,ে
চ,ে,ন,া,$,V,PROG,3,POL,PRS	চ,ি,ন,ছ,ে,ন
চ,ে,ন,া,$,V,2,POL,FUT	চ,ি,ন,ব,ে
চ,ে,ন,া,$,V,3,INFM,PST	চ,ি,ন,ল,ে
চ,ে,ন,া,$,V,1,FUT	চ,ি,ন,ব,ো
চ,ে,ন,া,$,V,PRF,1,PST	চ,ি,ন,ে,ছ,ি,ল,া,ম
চ,ে,ন,া,$,V,PRF,3,POL,PST	চ,ি,ন,ে,ছ,ি,ল,ে,ন
হ,া,গ,া,$,V,PROG,3,INFM,PRS	হ,া,গ,ছ,ো
হ,া,গ,া,$,V,PROG,3,POL,PST	হ,া,গ,ছ,ি,ল,ে,ন
হ,া,গ,া,$,V,PRF,1,PST	হ,ে,গ,ে,ছ,ি,ল,া,ম
হ,া,গ,া,$,V,HAB,2,POL,PST	হ,া,গ,ত,ো
হ,া,গ,া,$,V,HAB,3,INFM,PST	হ,া,গ,ত,ে
হ,া,গ,া,$,V,HAB,3,POL,PST	হ,া,গ,ত,ে,ন
হ,া,গ,া,$,V,PROG,1,PST	হ,া,গ,ছ,ি,ল,া,ম
হ,া,গ,া,$,V,PROG,3,POL,PRS	হ,া,গ,ছ,ে,ন
হ,া,গ,া,$,V,HAB,1,PST	হ,া,গ,ত,া,ম
হ,া,গ,া,$,V,1,PRS	হ,া,গ,ি
হ,া,গ,া,$,V,1,FUT	হ,া,গ,ব,ো
হ,া,গ,া,$,V,3,POL,PST	হ,া,গ,ল,ে,ন
হ,া,গ,া,$,V,PRF,2,POL,PST	হ,ে,গ,ে,ছ,ি,ল,ো
হ,া,গ,া,$,V,HAB,2,PST,LGSPEC1	হ,া,গ,ত,ি,স
হ,া,গ,া,$,V,2,PRS,LGSPEC1	হ,া,গ,ি,স
হ,া,গ,া,$,V,PROG,1,PRS	হ,া,গ,ছ,ি
হ,া,গ,া,$,V,PRF,1,PRS	হ,ে,গ,ে,ছ,ি
হ,া,গ,া,$,V,NFIN	হ,া,গ,ত,ে
হ,া,গ,া,$,V,3,POL,PRS	হ,া,গ,ে,ন
হ,া,গ,া,$,V,2,POL,FUT	হ,া,গ,ব,ে
হ,া,গ,া,$,V,PROG,3,INFM,PST	হ,া,গ,ছ,ি,ল,ে
হ,া,গ,া,$,V,PROG,2,PRS,LGSPEC1	হ,া,গ,ছ,ি,স
হ,া,গ,া,$,V,PRF,3,POL,PRS	হ,ে,গ,ে,ছ,ে,ন
হ,া,গ,া,$,V,2,FUT,LGSPEC1	হ,া,গ,ব,ি
হ,া,গ,া,$,V,2,POL,PRS	হ,া,গ,ে
হ,া,গ,া,$,V,PRF,3,INFM,PRS	হ,ে,গ,ে,ছ,ো
হ,া,গ,া,$,V,3,INFM,PST	হ,া,গ,ল,ে
হ,া,গ,া,$,V,2,POL,PST	হ,া,গ,ল,ো
হ,া,গ,া,$,V,PRF,2,PST,LGSPEC1	হ,ে,গ,ে,ছ,ি,ল,ি
হ,া,গ,া,$,V,1,PST	হ,া,গ,ল,া,ম
হ,া,গ,া,$,V,3,INFM,FUT	হ,া,গ,ব,ে
হ,া,গ,া,$,V,PRF,3,POL,PST	হ,ে,গ,ে,ছ,ি,ল,ে,ন
হ,া,গ,া,$,V,PROG,2,POL,PRS	হ,া,গ,ছ,ে
হ,া,গ,া,$,V,PROG,2,PST,LGSPEC1	হ,া,গ,ছ,ি,ল,ি
হ,া,গ,া,$,V,2,PST,LGSPEC1	হ,া,গ,ল,ি
হ,া,গ,া,$,V,PRF,3,INFM,PST	হ,ে,গ,ে,ছ,ি,ল,ে
হ,া,গ,া,$,V,PROG,2,POL,PST	হ,া,গ,ছ,ি,ল,ো
হ,া,গ,া,$,V,PRF,2,PRS,LGSPEC1	হ,ে,গ,ে,ছ,ি,স
হ,া,গ,া,$,V,3,POL,FUT	হ,া,গ,ব,ে,ন
হ,া,গ,া,$,V,3,INFM,PRS	হ,া,গ,ো
হ,া,গ,া,$,V,PRF,2,POL,PRS	হ,ে,গ,ে,ছ,ে
দ,ে,খ,া,ন,ো,$,V,2,PRS,LGSPEC1	দ,ে,খ,া,স
দ,ে,খ,া,ন,ো,$,V,3,POL,FUT	দ,ে,খ,া,ব,ে,ন
দ,ে,খ,া,ন,ো,$,V,PRF,2,PRS,LGSPEC1	দ,ে,খ,ি,য,়,ে,ছ,ি,স
দ,ে,খ,া,ন,ো,$,V,2,POL,PRS	দ,ে,খ,া,য,়
দ,ে,খ,া,ন,ো,$,V,2,PST,LGSPEC1	দ,ে,খ,া,ল,ি
দ,ে,খ,া,ন,ো,$,V,PROG,1,PST	দ,ে,খ,া,চ,্,ছ,ি,ল,া,ম
দ,ে,খ,া,ন,ো,$,V,2,FUT,LGSPEC1	দ,ে,খ,া,ব,ি
দ,ে,খ,া,ন,ো,$,V,2,POL,FUT	দ,ে,খ,া,ব,ে
দ,ে,খ,া,ন,ো,$,V,PRF,3,POL,PRS	দ,ে,খ,ি,য,়,ে,ছ,ে,ন
দ,ে,খ,া,ন,ো,$,V,PRF,2,POL,PRS	দ,ে,খ,ি,য,়,ে,ছ,ে
দ,ে,খ,া,ন,ো,$,V,3,INFM,PRS	দ,ে,খ,া,ও
দ,ে,খ,া,ন,ো,$,V,PROG,2,POL,PRS	দ,ে,খ,া,চ,্,ছ,ে
দ,ে,খ,া,ন,ো,$,V,PRF,1,PST	দ,ে,খ,ি,য,়,ে,ছ,ি,ল,া,ম
দ,ে,খ,া,ন,ো,$,V,NFIN	দ,ে,খ,া,ত,ে
দ,ে,খ,া,ন,ো,$,V,PROG,3,INFM,PRS	দ,ে,খ,া,চ,্,ছ,ো
দ,ে,খ,া,ন,ো,$,V,PRF,2,POL,PST	দ,ে,খ,ি,য,়,ে,ছ,ি,ল,ো
দ,ে,খ,া,ন,ো,$,V,HAB,3,INFM,PST	দ,ে,খ,া,ত,ে
দ,ে,খ,া,ন,ো,$,V,1,PRS	দ,ে,খ,া,ই
দ,ে,খ,া,ন,ো,$,V,HAB,2,POL,PST	দ,ে,খ,া,ত,ো
দ,ে,খ,া,ন,ো,$,V,PROG,3,POL,PRS	দ,ে,খ,া,চ,্,ছ,ে,ন
দ,ে,খ,া,ন,ো,$,V,PROG,2,PRS,LGSPEC1	দ,ে,খ,া,চ,্,ছ,ি,স
দ,ে,খ,া,ন,ো,$,V,1,FUT	দ,ে,খ,া,ব,ো
দ,ে,খ,া,ন,ো,$,V,3,POL,PST	দ,ে,খ,া,ল,ে,ন
দ,ে,খ,া,ন,ো,$,V,PROG,3,POL,PST	দ,ে,খ,া,চ,্,ছ,ি,ল,ে,ন
দ,ে,খ,া,ন,ো,$,V,PRF,1,PRS	দ,ে,খ,ি,য,়,ে,ছ,ি
দ,ে,খ,া,ন,ো,$,V,PROG,2,PST,LGSPEC1	দ,ে,খ,া,চ,্,ছ,ি,ল,ি
দ,ে,খ,া,ন,ো,$,V,HAB,3,POL,PST	দ,ে,খ,া,ত,ে,ন
দ,ে,খ,া,ন,ো,$,V,2,POL,PST	দ,ে,খ,া,ল,ো
দ,ে,খ,া,ন,ো,$,V,PROG,2,POL,PST	দ,ে,খ,া,চ,্,ছ,ি,ল,ো
দ,ে,খ,া,ন,ো,$,V,PRF,3,INFM,PST	দ,ে,খ,ি,য,়,ে,ছ,ি,ল,ে
দ,ে,খ,া,ন,ো,$,V,PRF,3,POL,PST	দ,ে,খ,ি,য,়,ে,ছ,ি,ল,ে,ন
দ,ে,খ,া,ন,ো,$,V,PRF,3,INFM,PRS	দ,ে,খ,ি,য,়,ে,ছ,ো
দ,ে,খ,া,ন,ো,$,V,HAB,2,PST,LGSPEC1	দ,ে,খ,া,ত,ি,স
দ,ে,খ,া,ন,ো,$,V,3,INFM,FUT	দ,ে,খ,া,ব,ে
দ,ে,খ,া,ন,ো,$,V,PRF,2,PST,LGSPEC1	দ,ে,খ,ি,য,়,ে,ছ,ি,ল,ি
দ,ে,খ,া,ন,ো,$,V,1,PST	দ,ে,খ,া,ল,া,ম
দ,ে,খ,া,ন,ো,$,V,3,INFM,PST	দ,ে,খ,া,ল,ে
দ,ে,খ,া,ন,ো,$,V,PROG,3,INFM,PST	দ,ে,খ,া,চ,্,ছ,ি,ল,ে
দ,ে,খ,া,ন,ো,$,V,3,POL,PRS	দ,ে,খ,া,ন
দ,ে,খ,া,ন,ো,$,V,HAB,1,PST	দ,ে,খ,া,ত,া,ম
দ,ে,খ,া,ন,ো,$,V,PROG,1,PRS	দ,ে,খ,া,চ,্,ছ,ি
গ,ে,ল,া,$,V,PROG,2,PST,LGSPEC1	গ,ি,ল,ছ,ি,ল,ি
গ,ে,ল,া,$,V,PROG,3,INFM,PST	গ,ি,ল,ছ,ি,ল,ে
গ,ে,ল,া,$,V,PROG,2,PRS,LGSPEC1	গ,ি,ল,ছ,ি,স
গ,ে,ল,া,$,V,3,INFM,FUT	গ,ি,ল,ব,ে
গ,ে,ল,া,$,V,1,FUT	গ,ি,ল,ব,ো
গ,ে,ল,া,$,V,PROG,3,POL,PRS	গ,ি,ল,ছ,ে,ন
গ,ে,ল,া,$,V,HAB,2,POL,PST	গ,ি,ল,ত,ো
গ,ে,ল,া,$,V,3,POL,PRS	গ,ে,ল,ে,ন
গ,ে,ল,া,$,V,PROG,3,POL,PST	গ,ি,ল,ছ,ি,ল,ে,ন
গ,ে,ল,া,$,V,3,INFM,PST	গ,ি,ল,্,ল,ে
গ,ে,ল,া,$,V,PROG,3,INFM,PRS	গ,ি,ল,ছ,ো
গ,ে,ল,া,$,V,HAB,3,POL,PST	গ,ি,ল,ত,ে,ন
গ,ে,ল,া,$,V,PROG,2,POL,PRS	গ,ি,ল,ছ,ে
গ,ে,ল,া,$,V,PRF,2,POL,PRS	গ,ি,ল,ে,ছ,ে
গ,ে,ল,া,$,V,PRF,2,PRS,LGSPEC1	গ,ি,ল,ে,ছ,ি,স
গ,ে,ল,া,$,V,PRF,3,INFM,PST	গ,ি,ল,ে,ছ,ি,ল,ে
গ,ে,ল,া,$,V,2,PRS,LGSPEC1	গ,ি,ল,ি,স
গ,ে,ল,া,$,V,3,POL,PST	গ,ি,ল,্,ল,ে,ন
গ,ে,ল,া,$,V,PROG,1,PST	গ,ি,ল,ছ,ি,ল,া,ম
গ,ে,ল,া,$,V,PRF,1,PST	গ,ি,ল,ে,ছ,ি,ল,া,ম
গ,ে,ল,া,$,V,HAB,3,INFM,PST	গ,ি,ল,ত,ে
গ,ে,ল,া,$,V,NFIN	গ,ি,ল,ত,ে
গ,ে,ল,া,$,V,PROG,1,PRS	গ,ি,ল,ছ,ি
গ,ে,ল,া,$,V,2,POL,PRS	গ,ে,ল,ে
গ,ে,ল,া,$,V,1,PST	গ,ি,ল,্,ল,া,ম
গ,ে,ল,া,$,V,3,POL,FUT	গ,ি,ল,ব,ে,ন
গ,ে,ল,া,$,V,2,POL,PST	গ,ি,ল,্,ল,ো
গ,ে,ল,া,$,V,PRF,3,POL,PST	গ,ি,ল,ে,ছ,ি,ল,ে,ন
গ,ে,ল,া,$,V,2,PST,LGSPEC1	গ,ি,ল,্,ল,ি
গ,ে,ল,া,$,V,2,POL,FUT	গ,ি,ল,ব,ে
গ,ে,ল,া,$,V,PRF,2,PST,LGSPEC1	গ,ি,ল,ে,ছ,ি,ল,ি
গ,ে,ল,া,$,V,PRF,3,POL,PRS	গ,ি,ল,ে,ছ,ে,ন
গ,ে,ল,া,$,V,HAB,1,PST	গ,ি,ল,ত,া,ম
গ,ে,ল,া,$,V,PRF,2,POL,PST	গ,ি,ল,ে,ছ,ি,ল,ো
গ,ে,ল,া,$,V,1,PRS	গ,ি,ল,ি
গ,ে,ল,া,$,V,2,FUT,LGSPEC1	গ,ি,ল,ব,ি
গ,ে,ল,া,$,V,3,INFM,PRS	গ,ে,ল,ো
