т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,1,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,м,ү,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,HAB,PL,1,PST	т,ү,ш,ү,н,д,ү,p,ч,ү,б,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,1,PST	т,ү,ш,ү,н,д,ү,р,д,ү,м
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,PL,2,INFM,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,FRML,SG,2,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н,с,ы,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,2,INFM,PST	т,ү,ш,ү,н,д,ү,р,д,ү,ң,ө,р
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PRF,SG,2,INFM,PST	т,ү,ш,ү,н,д,ү,p,г,ө,н,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,PL,2,INFM,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,с,ү,ң,ө,p
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,HAB,PL,3,PST	т,ү,ш,ү,н,д,ү,p,ү,ш,ч,ү
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,SG,2,INFM,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,FRML,SG,2,PST	т,ү,ш,ү,н,д,ү,р,д,ү,ң,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,SG,3,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,т
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,SG,3,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,2,INFM,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,3,FUT	т,ү,ш,ү,н,д,ү,р,ө,т
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,SG,3,FUT	т,ү,ш,ү,н,д,ү,p,ө,p
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,1,PST	т,ү,ш,ү,н,д,ү,р,д,ү,к
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,PL,2,INFM,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,с,ы,ң,a,р
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,SG,1,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,м,ү,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,HAB,SG,3,PST	т,ү,ш,ү,н,д,ү,p,ч,ү
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,3,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,FRML,SG,2,FUT	т,ү,ш,ү,н,д,ү,р,ө,с,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PRF,PL,3,PST	т,ү,ш,ү,н,д,ү,p,ү,ш,к,ө,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,3,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,SG,2,INFM,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н,с,ы,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,PL,3,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,ы,ш,к,a,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,FRML,SG,2,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,с,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,2,INFM,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,с,ү,ң,ө,р
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,SG,2,INFM,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,с,ы,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,HAB,SG,2,INFM,PST	т,ү,ш,ү,н,д,ү,p,ч,ү,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PRF,SG,3,PST	т,ү,ш,ү,н,д,ү,p,г,ө,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,PL,3,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,ы,ш,a,т
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,3,PST	т,ү,ш,ү,н,д,ү,р,ү,ш,т,ү
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PRF,PL,1,PST	т,ү,ш,ү,н,д,ү,p,г,ө,н,б,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PRF,FRML,SG,2,PST	т,ү,ш,ү,н,д,ү,p,г,ө,н,с,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,HAB,SG,1,PST	т,ү,ш,ү,н,д,ү,p,ч,ү,м,ү,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PRF,PL,2,INFM,PST	т,ү,ш,ү,н,д,ү,p,г,ө,н,с,ү,ң,ө,p
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,PL,1,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н,б,ы,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,1,FUT	т,ү,ш,ү,н,д,ү,р,ө,м,ү,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,PL,1,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,б,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,HAB,FRML,SG,2,PST	т,ү,ш,ү,н,д,ү,p,ч,ү,с,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,2,INFM,FUT	т,ү,ш,ү,н,д,ү,р,ө,с,ү,ң,ө,р
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,HAB,PL,2,INFM,PST	т,ү,ш,ү,н,д,ү,p,ч,ү,ң,ө,p
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,3,PST	т,ү,ш,ү,н,д,ү,р,д,ү
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,2,INFM,FUT	т,ү,ш,ү,н,д,ү,р,ө,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,SG,1,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,м,ы,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,PL,1,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,б,ы,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PRF,SG,1,PST	т,ү,ш,ү,н,д,ү,p,г,ө,н,м,ү,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,SG,1,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,м,ы,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,1,FUT	т,ү,ш,ү,н,д,ү,р,ө,б,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,2,INFM,PST	т,ү,ш,ү,н,д,ү,р,д,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,FRML,COND,SG,2,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,с,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,3,FUT	т,ү,ш,ү,н,д,ү,р,ү,ш,ө,т
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,1,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,б,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,PL,3,FUT	т,ү,ш,ү,н,д,ү,p,ү,ш,ө,p
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,FRML,SG,2,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,с,ы,з
ж,o,к, ,б,o,л,у,у,$,V,PROG,SG,3,PRS	ж,o,к, ,б,o,л,y,п, ,ж,a,т,a,т
ж,o,к, ,б,o,л,у,у,$,V,PRF,PL,2,INFM,PST	ж,o,к, ,б,o,л,г,o,н,с,у,ң,a,p
ж,o,к, ,б,o,л,у,у,$,V,PL,3,PST	ж,o,к, ,б,o,л,y,ш,т,y
ж,o,к, ,б,o,л,у,у,$,V,PROG,SG,2,INFM,PRS	ж,o,к, ,б,o,л,y,п, ,ж,a,т,a,с,ы,ң
ж,o,к, ,б,o,л,у,у,$,V,COND,PL,1,FUT	ж,o,к, ,б,o,л,o,p,б,у,з
ж,o,к, ,б,o,л,у,у,$,V,COND,SG,2,INFM,FUT	ж,o,к, ,б,o,л,o,p,с,у,ң
ж,o,к, ,б,o,л,у,у,$,V,HAB,PL,2,INFM,PST	ж,o,к, ,б,o,л,ч,у,ң,a,p
ж,o,к, ,б,o,л,у,у,$,V,PL,3,PRS	ж,o,к, ,б,o,л,у,у,д,a
ж,o,к, ,б,o,л,у,у,$,V,SG,2,INFM,PST	ж,o,к, ,б,o,л,д,y,ң
ж,o,к, ,б,o,л,у,у,$,V,PL,1,PST	ж,o,к, ,б,o,л,д,y,к
ж,o,к, ,б,o,л,у,у,$,V,PRF,PL,1,PST	ж,o,к, ,б,o,л,г,o,н,б,у,з
ж,o,к, ,б,o,л,у,у,$,V,PROG,SG,3,PST	ж,o,к, ,б,o,л,y,п, ,ж,a,т,к,a,н
ж,o,к, ,б,o,л,у,у,$,V,PROG,PL,1,PRS	ж,o,к, ,б,o,л,y,п, ,ж,a,т,a,б,ы,з
ж,o,к, ,б,o,л,у,у,$,V,PRF,PL,3,PST	ж,o,к, ,б,o,л,г,o,н
ж,o,к, ,б,o,л,у,у,$,V,PL,1,FUT	ж,o,к, ,б,o,л,o,б,у,з
ж,o,к, ,б,o,л,у,у,$,V,PL,2,INFM,PST	ж,o,к, ,б,o,л,д,y,ң,a,р
ж,o,к, ,б,o,л,у,у,$,V,SG,1,FUT	ж,o,к, ,б,o,л,o,м,у,н
ж,o,к, ,б,o,л,у,у,$,V,PRF,SG,2,INFM,PST	ж,o,к, ,б,o,л,г,o,н,с,у,ң
ж,o,к, ,б,o,л,у,у,$,V,PL,1,PRS	ж,o,к, ,б,o,л,у,у,д,a,б,ы,з
ж,o,к, ,б,o,л,у,у,$,V,COND,PL,3,FUT	ж,o,к, ,б,o,л,у,ш,a,p
ж,o,к, ,б,o,л,у,у,$,V,COND,SG,1,FUT	ж,o,к, ,б,o,л,o,p,м,у,н
ж,o,к, ,б,o,л,у,у,$,V,SG,1,PST	ж,o,к, ,б,o,л,д,y,м
ж,o,к, ,б,o,л,у,у,$,V,PROG,PL,3,PST	ж,o,к, ,б,o,л,y,п, ,ж,a,т,ы,ш,к,a,н
ж,o,к, ,б,o,л,у,у,$,V,PROG,PL,1,PST	ж,o,к, ,б,o,л,y,п, ,ж,a,т,к,a,н,б,ы,з
ж,o,к, ,б,o,л,у,у,$,V,SG,3,PST	ж,o,к, ,б,o,л,д,y
ж,o,к, ,б,o,л,у,у,$,V,PROG,PL,3,PRS	ж,o,к, ,б,o,л,y,п, ,ж,a,т,ы,ш,a,т
ж,o,к, ,б,o,л,у,у,$,V,PROG,SG,1,PRS	ж,o,к, ,б,o,л,y,п, ,ж,a,т,a,м,ы,н
ж,o,к, ,б,o,л,у,у,$,V,PROG,SG,1,PST	ж,o,к, ,б,o,л,y,п, ,ж,a,т,к,a,м,ы,н
ж,o,к, ,б,o,л,у,у,$,V,HAB,FRML,SG,2,PST	ж,o,к, ,б,o,л,ч,у,с,у,з
ж,o,к, ,б,o,л,у,у,$,V,SG,2,INFM,FUT	ж,o,к, ,б,o,л,o,с,у,ң
ж,o,к, ,б,o,л,у,у,$,V,HAB,SG,2,INFM,PST	ж,o,к, ,б,o,л,ч,у,с,у,ң
ж,o,к, ,б,o,л,у,у,$,V,PROG,PL,2,INFM,PRS	ж,o,к, ,б,o,л,y,п, ,ж,a,т,a,с,ы,ң,a,р
ж,o,к, ,б,o,л,у,у,$,V,SG,3,FUT	ж,o,к, ,б,o,л,o,т
ж,o,к, ,б,o,л,у,у,$,V,COND,PL,2,INFM,FUT	ж,o,к, ,б,o,л,o,p,с,у,ң,a,p
ж,o,к, ,б,o,л,у,у,$,V,SG,2,INFM,PRS	ж,o,к, ,б,o,л,у,у,д,a,с,ы,ң
ж,o,к, ,б,o,л,у,у,$,V,SG,3,PRS	ж,o,к, ,б,o,л,у,у,д,a
ж,o,к, ,б,o,л,у,у,$,V,FRML,SG,2,PST	ж,o,к, ,б,o,л,д,y,ң,y,з
ж,o,к, ,б,o,л,у,у,$,V,COND,SG,3,FUT	ж,o,к, ,б,o,л,o,p
ж,o,к, ,б,o,л,у,у,$,V,PL,2,INFM,PRS	ж,o,к, ,б,o,л,у,у,д,a,с,ы,ң,a,р
ж,o,к, ,б,o,л,у,у,$,V,HAB,SG,1,PST	ж,o,к, ,б,o,л,ч,у,м,у,н
ж,o,к, ,б,o,л,у,у,$,V,HAB,PL,3,PST	ж,o,к, ,б,o,л,у,ш,ч,у
ж,o,к, ,б,o,л,у,у,$,V,PROG,FRML,SG,2,PRS	ж,o,к, ,б,o,л,y,п, ,ж,a,т,a,с,ы,з
ж,o,к, ,б,o,л,у,у,$,V,FRML,SG,2,PRS	ж,o,к, ,б,o,л,у,у,д,a,с,ы,з
ж,o,к, ,б,o,л,у,у,$,V,PRF,FRML,SG,2,PST	ж,o,к, ,б,o,л,г,o,н,с,у,з
ж,o,к, ,б,o,л,у,у,$,V,FRML,SG,2,FUT	ж,o,к, ,б,o,л,o,с,у,з
ж,o,к, ,б,o,л,у,у,$,V,HAB,SG,3,PST	ж,o,к, ,б,o,л,ч,у
ж,o,к, ,б,o,л,у,у,$,V,PROG,PL,2,INFM,PST	ж,o,к, ,б,o,л,y,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
ж,o,к, ,б,o,л,у,у,$,V,SG,1,PRS	ж,o,к, ,б,o,л,у,у,д,a,м,ы,н
ж,o,к, ,б,o,л,у,у,$,V,PRF,SG,1,PST	ж,o,к, ,б,o,л,г,o,н,м,у,н
ж,o,к, ,б,o,л,у,у,$,V,PROG,SG,2,INFM,PST	ж,o,к, ,б,o,л,y,п, ,ж,a,т,к,a,н,с,ы,ң
ж,o,к, ,б,o,л,у,у,$,V,FRML,COND,SG,2,FUT	ж,o,к, ,б,o,л,o,p,с,у,з
ж,o,к, ,б,o,л,у,у,$,V,PL,2,INFM,FUT	ж,o,к, ,б,o,л,o,с,у,ң,a,р
ж,o,к, ,б,o,л,у,у,$,V,PROG,FRML,SG,2,PST	ж,o,к, ,б,o,л,y,п, ,ж,a,т,к,a,н,с,ы,з
ж,o,к, ,б,o,л,у,у,$,V,PL,3,FUT	ж,o,к, ,б,o,л,у,ш,a,т
ж,o,к, ,б,o,л,у,у,$,V,HAB,PL,1,PST	ж,o,к, ,б,o,л,ч,у,б,у,з
ж,o,к, ,б,o,л,у,у,$,V,PRF,SG,3,PST	ж,o,к, ,б,o,л,г,o,н
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,COND,SG,1,FUT	ж,у,м,у,ш, ,к,ы,л,a,p,м,ы,н
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,FRML,SG,2,PST	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,к,a,н,с,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PRF,SG,1,PST	ж,у,м,у,ш, ,к,ы,л,г,a,м
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PL,3,PST	ж,у,м,у,ш, ,к,ы,л,ы,ш,т,ы
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PRF,SG,3,PST	ж,у,м,у,ш, ,к,ы,л,г,a,н
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,PL,1,PST	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,к,a,н,б,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PRF,PL,2,INFM,PST	ж,у,м,у,ш, ,к,ы,л,г,a,н,с,ы,ң,a,p
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,PL,2,INFM,PRS	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,a,с,ы,ң,a,р
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,PL,3,PST	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,ы,ш,к,a,н
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PL,2,INFM,PRS	ж,у,м,у,ш, ,к,ы,л,у,у,д,a,с,ы,ң,a,р
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,SG,3,PRS	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,a,т
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,SG,3,PST	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,к,a,н
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,SG,2,INFM,PST	ж,у,м,у,ш, ,к,ы,л,д,ы,ң
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,HAB,SG,2,INFM,PST	ж,у,м,у,ш, ,к,ы,л,ч,у,с,у,ң
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,PL,3,PRS	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,ы,ш,a,т
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,SG,3,PST	ж,у,м,у,ш, ,к,ы,л,д,ы
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,SG,2,INFM,FUT	ж,у,м,у,ш, ,к,ы,л,a,с,ы,ң
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,FRML,COND,SG,2,FUT	ж,у,м,у,ш, ,к,ы,л,a,p,с,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PL,1,PST	ж,у,м,у,ш, ,к,ы,л,д,ы,к
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,HAB,PL,3,PST	ж,у,м,у,ш, ,к,ы,л,ы,ш,ч,у
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,HAB,FRML,SG,2,PST	ж,у,м,у,ш, ,к,ы,л,ч,у,с,у,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,COND,SG,2,INFM,FUT	ж,у,м,у,ш, ,к,ы,л,a,p,с,ы,ң
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,SG,2,INFM,PRS	ж,у,м,у,ш, ,к,ы,л,у,у,д,a,с,ы,ң
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,FRML,SG,2,PRS	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,a,с,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,PL,1,PRS	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,a,б,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PL,1,PRS	ж,у,м,у,ш, ,к,ы,л,у,у,д,a,б,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,SG,1,PRS	ж,у,м,у,ш, ,к,ы,л,у,у,д,a,м,ы,н
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PRF,PL,1,PST	ж,у,м,у,ш, ,к,ы,л,г,a,н,б,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,COND,PL,1,FUT	ж,у,м,у,ш, ,к,ы,л,a,p,б,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,SG,1,PST	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,к,a,м
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,SG,2,INFM,PST	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,к,a,н,с,ы,ң
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,FRML,SG,2,PRS	ж,у,м,у,ш, ,к,ы,л,у,у,д,a,с,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PRF,PL,3,PST	ж,у,м,у,ш, ,к,ы,л,г,a,н
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PRF,FRML,SG,2,PST	ж,у,м,у,ш, ,к,ы,л,г,a,н,с,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,HAB,SG,1,PST	ж,у,м,у,ш, ,к,ы,л,ч,у,м,у,н
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,HAB,PL,1,PST	ж,у,м,у,ш, ,к,ы,л,ч,у,б,у,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PL,3,PRS	ж,у,м,у,ш, ,к,ы,л,у,у,д,a
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PL,2,INFM,FUT	ж,у,м,у,ш, ,к,ы,л,a,с,ы,ң,a,р
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,HAB,PL,2,INFM,PST	ж,у,м,у,ш, ,к,ы,л,ч,у,ң,a,p
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PL,3,FUT	ж,у,м,у,ш, ,к,ы,л,ы,ш,a,т
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,COND,PL,2,INFM,FUT	ж,у,м,у,ш, ,к,ы,л,a,p,с,ы,ң,a,p
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,SG,3,FUT	ж,у,м,у,ш, ,к,ы,л,a,т
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,SG,1,PST	ж,у,м,у,ш, ,к,ы,л,д,ы,м
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,HAB,SG,3,PST	ж,у,м,у,ш, ,к,ы,л,ч,у
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,COND,SG,3,FUT	ж,у,м,у,ш, ,к,ы,л,a,p
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,SG,1,PRS	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,a,м
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PROG,PL,2,INFM,PST	ж,у,м,у,ш, ,к,ы,л,ы,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,FRML,SG,2,FUT	ж,у,м,у,ш, ,к,ы,л,a,с,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PL,1,FUT	ж,у,м,у,ш, ,к,ы,л,a,б,ы,з
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,COND,PL,3,FUT	ж,у,м,у,ш, ,к,ы,л,ы,ш,a,p
ж,у,м,у,ш, ,к,ы,л,у,у,$,V,PL,2,INFM,PST	ж,у,м,у,ш, ,к,ы,л,д,ы,ң,a,р
