q,a,b,e,ż,$,V,IPFV,FIN,PL,2,PST	t,a,q,b,ż,u
q,a,b,e,ż,$,V,PRF,FIN,PL,2,PST	q,b,i,ż,t,u
q,a,b,e,ż,$,V,PRF,FIN,MASC,SG,3,PST	q,a,b,e,ż
q,a,b,e,ż,$,V,FIN,IMP,PL,1	a,q,b,ż,u
q,a,b,e,ż,$,V,FIN,IMP,SG,2	a,q,b,e,ż
q,a,b,e,ż,$,V,PRF,FIN,PL,3,PST	q,a,b,ż,u
q,a,b,e,ż,$,V,IPFV,FIN,MASC,SG,3,PST	j,a,q,b,e,ż
q,a,b,e,ż,$,V,IPFV,FIN,SG,1,PST	n,a,q,b,e,ż
q,a,b,e,ż,$,V,IPFV,FIN,FEM,SG,3,PST	t,a,q,b,e,ż
q,a,b,e,ż,$,V,PRF,FIN,PL,1,PST	q,b,i,ż,n,a
q,a,b,e,ż,$,V,IPFV,FIN,PL,3,PST	j,a,q,b,ż,u
q,a,b,e,ż,$,V,IPFV,FIN,PL,1,PST	n,a,q,b,ż,u
q,a,b,e,ż,$,V,PRF,FIN,SG,2,PST	q,b,i,ż,t
q,a,b,e,ż,$,V,PRF,FIN,SG,1,PST	q,b,i,ż,t
q,a,b,e,ż,$,V,PRF,FIN,FEM,SG,3,PST	q,a,b,ż,e,t
q,a,b,e,ż,$,V,IPFV,FIN,SG,2,PST	t,a,q,b,e,ż
x,t,a,r,a,$,V,IPFV,FIN,SG,2,PST	t,i,x,t,r,i
x,t,a,r,a,$,V,IPFV,FIN,SG,1,PST	n,i,x,t,r,i
x,t,a,r,a,$,V,FIN,IMP,PL,1	i,x,t,r,u
x,t,a,r,a,$,V,IPFV,FIN,PL,2,PST	t,i,x,t,r,u
x,t,a,r,a,$,V,PRF,FIN,MASC,SG,3,PST	x,t,a,r,a
x,t,a,r,a,$,V,PRF,FIN,SG,2,PST	x,t,r,a,j,t
x,t,a,r,a,$,V,PRF,FIN,SG,1,PST	x,t,r,a,j,t
x,t,a,r,a,$,V,FIN,IMP,SG,2	i,x,t,r,i
x,t,a,r,a,$,V,IPFV,FIN,PL,1,PST	n,i,x,t,r,u
x,t,a,r,a,$,V,PRF,FIN,PL,3,PST	x,t,r,a,w
x,t,a,r,a,$,V,PRF,FIN,PL,1,PST	x,t,r,a,j,n,a
x,t,a,r,a,$,V,IPFV,FIN,PL,3,PST	j,i,x,t,r,u
x,t,a,r,a,$,V,PRF,FIN,FEM,SG,3,PST	x,t,r,a,t
x,t,a,r,a,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,x,t,r,i
x,t,a,r,a,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,x,t,r,i
x,t,a,r,a,$,V,PRF,FIN,PL,2,PST	x,t,r,a,j,t,u
r,i,k,e,b,$,V,IPFV,FIN,PL,2,PST	t,i,r,k,b,u
r,i,k,e,b,$,V,IPFV,FIN,PL,1,PST	n,i,r,k,b,u
r,i,k,e,b,$,V,PRF,FIN,PL,3,PST	r,i,k,b,u
r,i,k,e,b,$,V,PRF,FIN,MASC,SG,3,PST	r,i,k,e,b
r,i,k,e,b,$,V,PRF,FIN,SG,2,PST	r,k,i,b,t
r,i,k,e,b,$,V,IPFV,FIN,SG,2,PST	t,i,r,k,e,b
r,i,k,e,b,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,r,k,e,b
r,i,k,e,b,$,V,FIN,IMP,PL,1	i,r,k,b,u
r,i,k,e,b,$,V,PRF,FIN,SG,1,PST	r,k,i,b,t
r,i,k,e,b,$,V,IPFV,FIN,SG,1,PST	n,i,r,k,e,b
r,i,k,e,b,$,V,PRF,FIN,PL,2,PST	r,k,i,b,t,u
r,i,k,e,b,$,V,PRF,FIN,FEM,SG,3,PST	r,i,k,b,e,t
r,i,k,e,b,$,V,IPFV,FIN,PL,3,PST	j,i,r,k,b,u
r,i,k,e,b,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,r,k,e,b
r,i,k,e,b,$,V,PRF,FIN,PL,1,PST	r,k,i,b,n,a
r,i,k,e,b,$,V,FIN,IMP,SG,2	i,r,k,e,b
p,e,j,j,e,p,$,V,IPFV,FIN,SG,1,PST	i,n,p,e,j,j,e,p
p,e,j,j,e,p,$,V,IPFV,FIN,PL,1,PST	i,n,p,e,j,p,u
p,e,j,j,e,p,$,V,PRF,FIN,MASC,SG,3,PST	p,e,j,j,e,p
p,e,j,j,e,p,$,V,IPFV,FIN,PL,2,PST	t,p,e,j,p,u
p,e,j,j,e,p,$,V,IPFV,FIN,MASC,SG,3,PST	i,p,e,j,j,e,p
p,e,j,j,e,p,$,V,FIN,IMP,PL,1	p,e,j,p,u
p,e,j,j,e,p,$,V,IPFV,FIN,SG,2,PST	t,p,e,j,j,e,p
p,e,j,j,e,p,$,V,PRF,FIN,SG,1,PST	p,e,j,j,i,p,t
p,e,j,j,e,p,$,V,PRF,FIN,PL,2,PST	p,e,j,j,i,p,t,u
p,e,j,j,e,p,$,V,IPFV,FIN,PL,3,PST	i,p,e,j,p,u
p,e,j,j,e,p,$,V,IPFV,FIN,FEM,SG,3,PST	t,p,e,j,j,e,p
p,e,j,j,e,p,$,V,PRF,FIN,FEM,SG,3,PST	p,e,j,p,e,t
p,e,j,j,e,p,$,V,PRF,FIN,PL,1,PST	p,e,j,j,i,p,n,a
p,e,j,j,e,p,$,V,PRF,FIN,SG,2,PST	p,e,j,j,i,p,t
p,e,j,j,e,p,$,V,IPFV,FIN,SG,1,PST	n,p,e,j,j,e,p
p,e,j,j,e,p,$,V,FIN,IMP,SG,2	p,e,j,j,e,p
p,e,j,j,e,p,$,V,PRF,FIN,PL,3,PST	p,e,j,p,u
e,ż,e,r,ċ,i,t,a,$,V,PRF,FIN,MASC,SG,3,PST	e,ż,e,r,ċ,i,t,a
e,ż,e,r,ċ,i,t,a,$,V,FIN,IMP,SG,2	e,ż,e,r,ċ,i,t,a
e,ż,e,r,ċ,i,t,a,$,V,PRF,FIN,SG,2,PST	e,ż,e,r,ċ,i,t,a,j,t
e,ż,e,r,ċ,i,t,a,$,V,PRF,FIN,PL,2,PST	e,ż,e,r,ċ,i,t,a,j,t,u
e,ż,e,r,ċ,i,t,a,$,V,IPFV,FIN,PL,1,PST	n,e,ż,e,r,ċ,i,t,a,w
e,ż,e,r,ċ,i,t,a,$,V,PRF,FIN,PL,1,PST	e,ż,e,r,ċ,i,t,a,j,n,a
e,ż,e,r,ċ,i,t,a,$,V,IPFV,FIN,FEM,SG,3,PST	t,e,ż,e,r,ċ,i,t,a
e,ż,e,r,ċ,i,t,a,$,V,PRF,FIN,PL,3,PST	e,ż,e,r,ċ,i,t,a,w
e,ż,e,r,ċ,i,t,a,$,V,IPFV,FIN,SG,1,PST	n,e,ż,e,r,ċ,i,t,a
e,ż,e,r,ċ,i,t,a,$,V,IPFV,FIN,PL,3,PST	j,e,ż,e,r,ċ,i,t,a,w
e,ż,e,r,ċ,i,t,a,$,V,IPFV,FIN,PL,2,PST	t,e,ż,e,r,ċ,i,t,a,w
e,ż,e,r,ċ,i,t,a,$,V,PRF,FIN,SG,1,PST	e,ż,e,r,ċ,i,t,a,j,t
e,ż,e,r,ċ,i,t,a,$,V,IPFV,FIN,SG,2,PST	t,e,ż,e,r,ċ,i,t,a
e,ż,e,r,ċ,i,t,a,$,V,FIN,IMP,PL,1	e,ż,e,r,ċ,i,t,a,w
e,ż,e,r,ċ,i,t,a,$,V,PRF,FIN,FEM,SG,3,PST	e,ż,e,r,ċ,i,t,a,t
e,ż,e,r,ċ,i,t,a,$,V,IPFV,FIN,MASC,SG,3,PST	j,e,ż,e,r,ċ,i,t,a
g,ħ,o,r,o,k,$,V,IPFV,FIN,PL,3,PST	j,o,g,ħ,r,k,u
g,ħ,o,r,o,k,$,V,IPFV,FIN,FEM,SG,3,PST	t,o,g,ħ,r,o,k
g,ħ,o,r,o,k,$,V,PRF,FIN,SG,1,PST	g,ħ,o,r,o,k,t
g,ħ,o,r,o,k,$,V,PRF,FIN,PL,1,PST	g,ħ,o,r,o,k,n,a
g,ħ,o,r,o,k,$,V,IPFV,FIN,PL,1,PST	n,o,g,ħ,r,k,u
g,ħ,o,r,o,k,$,V,FIN,IMP,PL,1	o,g,ħ,r,k,u
g,ħ,o,r,o,k,$,V,PRF,FIN,PL,2,PST	g,ħ,o,r,o,k,t,u
g,ħ,o,r,o,k,$,V,PRF,FIN,SG,2,PST	g,ħ,o,r,o,k,t
g,ħ,o,r,o,k,$,V,PRF,FIN,MASC,SG,3,PST	g,ħ,o,r,o,k
g,ħ,o,r,o,k,$,V,IPFV,FIN,SG,2,PST	t,o,g,ħ,r,o,k
g,ħ,o,r,o,k,$,V,FIN,IMP,SG,2	o,g,ħ,r,o,k
g,ħ,o,r,o,k,$,V,IPFV,FIN,SG,1,PST	n,o,g,ħ,r,o,k
g,ħ,o,r,o,k,$,V,IPFV,FIN,PL,2,PST	t,o,g,ħ,r,k,u
g,ħ,o,r,o,k,$,V,PRF,FIN,FEM,SG,3,PST	g,ħ,o,r,k,o,t
g,ħ,o,r,o,k,$,V,IPFV,FIN,MASC,SG,3,PST	j,o,g,ħ,r,o,k
g,ħ,o,r,o,k,$,V,PRF,FIN,PL,3,PST	g,ħ,o,r,k,u
ħ,a,s,e,b,$,V,IPFV,FIN,PL,3,PST	j,a,ħ,s,b,u
ħ,a,s,e,b,$,V,IPFV,FIN,FEM,SG,3,PST	t,a,ħ,s,e,b
ħ,a,s,e,b,$,V,PRF,FIN,FEM,SG,3,PST	ħ,a,s,b,e,t
ħ,a,s,e,b,$,V,FIN,IMP,SG,2	a,ħ,s,e,b
ħ,a,s,e,b,$,V,FIN,IMP,PL,1	a,ħ,s,b,u
ħ,a,s,e,b,$,V,PRF,FIN,MASC,SG,3,PST	ħ,a,s,e,b
ħ,a,s,e,b,$,V,PRF,FIN,SG,2,PST	ħ,s,i,b,t
ħ,a,s,e,b,$,V,PRF,FIN,PL,3,PST	ħ,a,s,b,u
ħ,a,s,e,b,$,V,PRF,FIN,SG,1,PST	ħ,s,i,b,t
ħ,a,s,e,b,$,V,IPFV,FIN,SG,2,PST	t,a,ħ,s,e,b
ħ,a,s,e,b,$,V,IPFV,FIN,MASC,SG,3,PST	j,a,ħ,s,e,b
ħ,a,s,e,b,$,V,PRF,FIN,PL,2,PST	ħ,s,i,b,t,u
ħ,a,s,e,b,$,V,IPFV,FIN,PL,2,PST	t,a,ħ,s,b,u
ħ,a,s,e,b,$,V,IPFV,FIN,PL,1,PST	n,a,ħ,s,b,u
ħ,a,s,e,b,$,V,PRF,FIN,PL,1,PST	ħ,s,i,b,n,a
ħ,a,s,e,b,$,V,IPFV,FIN,SG,1,PST	n,a,ħ,s,e,b
i,v,v,j,o,l,a,$,V,PRF,FIN,PL,1,PST	i,v,v,j,o,l,a,j,n,a
i,v,v,j,o,l,a,$,V,FIN,IMP,SG,2	i,v,v,j,o,l,a
i,v,v,j,o,l,a,$,V,PRF,FIN,PL,2,PST	i,v,v,j,o,l,a,j,t,u
i,v,v,j,o,l,a,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,v,v,j,o,l,a
i,v,v,j,o,l,a,$,V,FIN,IMP,PL,1	i,v,v,j,o,l,a,w
i,v,v,j,o,l,a,$,V,IPFV,FIN,PL,2,PST	t,i,v,v,j,o,l,a,w
i,v,v,j,o,l,a,$,V,PRF,FIN,FEM,SG,3,PST	i,v,v,j,o,l,a,t
i,v,v,j,o,l,a,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,v,v,j,o,l,a
i,v,v,j,o,l,a,$,V,PRF,FIN,MASC,SG,3,PST	i,v,v,j,o,l,a
i,v,v,j,o,l,a,$,V,IPFV,FIN,PL,1,PST	n,i,v,v,j,o,l,a,w
i,v,v,j,o,l,a,$,V,IPFV,FIN,SG,1,PST	n,i,v,v,j,o,l,a
i,v,v,j,o,l,a,$,V,PRF,FIN,SG,2,PST	i,v,v,j,o,l,a,j,t
i,v,v,j,o,l,a,$,V,IPFV,FIN,SG,2,PST	t,i,v,v,j,o,l,a
i,v,v,j,o,l,a,$,V,IPFV,FIN,PL,3,PST	j,i,v,v,j,o,l,a,w
i,v,v,j,o,l,a,$,V,PRF,FIN,SG,1,PST	i,v,v,j,o,l,a,j,t
i,v,v,j,o,l,a,$,V,PRF,FIN,PL,3,PST	i,v,v,j,o,l,a,w
s,a,b,$,V,IPFV,FIN,PL,2,PST	i,s,s,i,b,u
s,a,b,$,V,PRF,FIN,PL,1,PST	s,i,b,n,a
s,a,b,$,V,IPFV,FIN,FEM,SG,3,PST	i,s,s,i,b
s,a,b,$,V,PRF,FIN,SG,1,PST	s,i,b,t
s,a,b,$,V,IPFV,FIN,MASC,SG,3,PST	i,s,i,b
s,a,b,$,V,PRF,FIN,SG,2,PST	s,i,b,t
s,a,b,$,V,PRF,FIN,MASC,SG,3,PST	s,a,b
s,a,b,$,V,FIN,IMP,PL,1	s,i,b,u
s,a,b,$,V,PRF,FIN,PL,2,PST	s,i,b,t,u
s,a,b,$,V,FIN,IMP,SG,2	s,i,b
s,a,b,$,V,IPFV,FIN,SG,1,PST	i,n,s,i,b
s,a,b,$,V,IPFV,FIN,SG,2,PST	i,s,s,i,b
s,a,b,$,V,IPFV,FIN,PL,3,PST	i,s,i,b,u
s,a,b,$,V,PRF,FIN,PL,3,PST	s,a,b,u
s,a,b,$,V,IPFV,FIN,PL,1,PST	i,n,s,i,b,u
s,a,b,$,V,PRF,FIN,FEM,SG,3,PST	s,a,b,e,t
g,ħ,a,ż,e,l,$,V,IPFV,FIN,MASC,SG,3,PST	j,a,g,ħ,ż,e,l
g,ħ,a,ż,e,l,$,V,PRF,FIN,SG,1,PST	g,ħ,a,ż,i,l,t
g,ħ,a,ż,e,l,$,V,IPFV,FIN,PL,3,PST	j,a,g,ħ,ż,l,u
g,ħ,a,ż,e,l,$,V,PRF,FIN,MASC,SG,3,PST	g,ħ,a,ż,e,l
g,ħ,a,ż,e,l,$,V,PRF,FIN,PL,2,PST	g,ħ,a,ż,i,l,t,u
g,ħ,a,ż,e,l,$,V,PRF,FIN,PL,1,PST	g,ħ,a,ż,i,l,n,a
g,ħ,a,ż,e,l,$,V,IPFV,FIN,SG,1,PST	n,a,g,ħ,ż,e,l
g,ħ,a,ż,e,l,$,V,FIN,IMP,SG,2	a,g,ħ,ż,e,l
g,ħ,a,ż,e,l,$,V,PRF,FIN,FEM,SG,3,PST	g,ħ,a,ż,l,e,t
g,ħ,a,ż,e,l,$,V,FIN,IMP,PL,1	a,g,ħ,ż,l,u
g,ħ,a,ż,e,l,$,V,IPFV,FIN,FEM,SG,3,PST	t,a,g,ħ,ż,e,l
g,ħ,a,ż,e,l,$,V,IPFV,FIN,PL,2,PST	t,a,g,ħ,ż,l,u
g,ħ,a,ż,e,l,$,V,IPFV,FIN,SG,2,PST	t,a,g,ħ,ż,e,l
g,ħ,a,ż,e,l,$,V,IPFV,FIN,PL,1,PST	n,a,g,ħ,ż,l,u
g,ħ,a,ż,e,l,$,V,PRF,FIN,SG,2,PST	g,ħ,a,ż,i,l,t
g,ħ,a,ż,e,l,$,V,PRF,FIN,PL,3,PST	g,ħ,a,ż,l,u
d,a,ħ,a,k,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,d,ħ,a,k
d,a,ħ,a,k,$,V,PRF,FIN,PL,2,PST	d,ħ,a,k,t,u
d,a,ħ,a,k,$,V,PRF,FIN,SG,2,PST	d,ħ,a,k,t
d,a,ħ,a,k,$,V,IPFV,FIN,PL,3,PST	j,i,d,ħ,k,u
d,a,ħ,a,k,$,V,PRF,FIN,PL,1,PST	d,ħ,a,k,n,a
d,a,ħ,a,k,$,V,PRF,FIN,SG,1,PST	d,ħ,a,k,t
