q,a,b,e,ż,$,V,IPFV,FIN,PL,2,PST	t,a,q,b,ż,u
d,a,ħ,a,k,$,V,IPFV,FIN,PL,2,PST	t,i,d,ħ,k,u
d,a,ħ,a,k,$,V,PRF,FIN,MASC,SG,3,PST	d,a,ħ,a,k
d,a,ħ,a,k,$,V,FIN,IMP,SG,2	i,d,ħ,a,k
d,a,ħ,a,k,$,V,FIN,IMP,PL,1	i,d,ħ,k,u
d,a,ħ,a,k,$,V,PRF,FIN,FEM,SG,3,PST	d,a,ħ,k,e,t
d,a,ħ,a,k,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,d,ħ,a,k
d,a,ħ,a,k,$,V,PRF,FIN,PL,3,PST	d,a,ħ,k,u
d,a,ħ,a,k,$,V,IPFV,FIN,PL,1,PST	n,i,d,ħ,k,u
d,a,ħ,a,k,$,V,IPFV,FIN,SG,1,PST	n,i,d,ħ,a,k
d,a,ħ,a,k,$,V,IPFV,FIN,SG,2,PST	t,i,d,ħ,a,k
ġ,a,b,a,r,$,V,IPFV,FIN,SG,1,PST	n,i,ġ,b,o,r
ġ,a,b,a,r,$,V,IPFV,FIN,SG,2,PST	t,i,ġ,b,o,r
ġ,a,b,a,r,$,V,IPFV,FIN,PL,2,PST	t,i,ġ,b,r,u
ġ,a,b,a,r,$,V,PRF,FIN,PL,3,PST	ġ,a,b,r,u
ġ,a,b,a,r,$,V,PRF,FIN,FEM,SG,3,PST	ġ,a,b,r,e,t
ġ,a,b,a,r,$,V,PRF,FIN,PL,1,PST	ġ,b,a,r,n,a
ġ,a,b,a,r,$,V,FIN,IMP,SG,2	i,ġ,b,o,r
ġ,a,b,a,r,$,V,PRF,FIN,SG,2,PST	ġ,b,a,r,t
ġ,a,b,a,r,$,V,PRF,FIN,SG,1,PST	ġ,b,a,r,t
ġ,a,b,a,r,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,ġ,b,o,r
ġ,a,b,a,r,$,V,IPFV,FIN,PL,1,PST	n,i,ġ,b,r,u
ġ,a,b,a,r,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,ġ,b,o,r
ġ,a,b,a,r,$,V,PRF,FIN,MASC,SG,3,PST	ġ,a,b,a,r
ġ,a,b,a,r,$,V,FIN,IMP,PL,1	i,ġ,b,r,u
ġ,a,b,a,r,$,V,PRF,FIN,PL,2,PST	ġ,b,a,r,t,u
ġ,a,b,a,r,$,V,IPFV,FIN,PL,3,PST	j,i,ġ,b,r,u
g,i,d,e,b,$,V,PRF,FIN,PL,1,PST	g,d,i,b,n,a
g,i,d,e,b,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,g,d,e,b
g,i,d,e,b,$,V,FIN,IMP,SG,2	i,g,d,e,b
g,i,d,e,b,$,V,IPFV,FIN,PL,2,PST	t,i,g,d,b,u
g,i,d,e,b,$,V,IPFV,FIN,PL,1,PST	n,i,g,d,b,u
g,i,d,e,b,$,V,PRF,FIN,SG,1,PST	g,d,i,b,t
g,i,d,e,b,$,V,PRF,FIN,MASC,SG,3,PST	g,i,d,e,b
g,i,d,e,b,$,V,PRF,FIN,SG,2,PST	g,d,i,b,t
g,i,d,e,b,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,g,d,e,b
g,i,d,e,b,$,V,PRF,FIN,PL,2,PST	g,d,i,b,t,u
g,i,d,e,b,$,V,PRF,FIN,FEM,SG,3,PST	g,i,d,b,e,t
g,i,d,e,b,$,V,IPFV,FIN,SG,2,PST	t,i,g,d,e,b
g,i,d,e,b,$,V,IPFV,FIN,SG,1,PST	n,i,g,d,e,b
g,i,d,e,b,$,V,FIN,IMP,PL,1	i,g,d,b,u
g,i,d,e,b,$,V,IPFV,FIN,PL,3,PST	j,i,g,d,b,u
g,i,d,e,b,$,V,PRF,FIN,PL,3,PST	g,i,d,b,u
i,n,d,i,k,a,$,V,PRF,FIN,SG,2,PST	i,n,d,i,k,a,j,t
i,n,d,i,k,a,$,V,IPFV,FIN,SG,1,PST	n,i,n,d,i,k,a
i,n,d,i,k,a,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,n,d,i,k,a
i,n,d,i,k,a,$,V,PRF,FIN,PL,1,PST	i,n,d,i,k,a,j,n,a
i,n,d,i,k,a,$,V,FIN,IMP,PL,1	i,n,d,i,k,a,w
i,n,d,i,k,a,$,V,IPFV,FIN,PL,1,PST	n,i,n,d,i,k,a,w
i,n,d,i,k,a,$,V,IPFV,FIN,SG,2,PST	t,i,n,d,i,k,a
i,n,d,i,k,a,$,V,IPFV,FIN,PL,2,PST	t,i,n,d,i,k,a,w
i,n,d,i,k,a,$,V,PRF,FIN,MASC,SG,3,PST	i,n,d,i,k,a
i,n,d,i,k,a,$,V,FIN,IMP,SG,2	i,n,d,i,k,a
i,n,d,i,k,a,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,n,d,i,k,a
i,n,d,i,k,a,$,V,PRF,FIN,PL,3,PST	i,n,d,i,k,a,w
i,n,d,i,k,a,$,V,IPFV,FIN,PL,3,PST	j,i,n,d,i,k,a,w
i,n,d,i,k,a,$,V,PRF,FIN,SG,1,PST	i,n,d,i,k,a,j,t
i,n,d,i,k,a,$,V,PRF,FIN,PL,2,PST	i,n,d,i,k,a,j,t,u
i,n,d,i,k,a,$,V,PRF,FIN,FEM,SG,3,PST	i,n,d,i,k,a,t
t,a,$,V,IPFV,FIN,FEM,SG,3,PST	t,a,g,ħ,t,i
t,a,$,V,IPFV,FIN,MASC,SG,3,PST	j,a,g,ħ,t,i
t,a,$,V,PRF,FIN,SG,2,PST	t,a,j,t
t,a,$,V,IPFV,FIN,PL,2,PST	t,a,g,ħ,t,u
t,a,$,V,PRF,FIN,PL,1,PST	t,a,j,n,a
t,a,$,V,IPFV,FIN,PL,3,PST	j,a,g,ħ,t,u
t,a,$,V,PRF,FIN,PL,2,PST	t,a,j,t,u
t,a,$,V,IPFV,FIN,SG,1,PST	n,a,g,ħ,t,i
t,a,$,V,PRF,FIN,MASC,SG,3,PST	t,a
t,a,$,V,IPFV,FIN,PL,1,PST	n,a,g,ħ,t,u
t,a,$,V,IPFV,FIN,SG,2,PST	t,a,g,ħ,t,i
t,a,$,V,PRF,FIN,SG,1,PST	t,a,j,t
t,a,$,V,PRF,FIN,PL,3,PST	t,a,w
t,a,$,V,FIN,IMP,SG,2	a,g,ħ,t,i
t,a,$,V,PRF,FIN,FEM,SG,3,PST	t,a,t
t,a,$,V,FIN,IMP,PL,1	a,g,ħ,t,u
s,i,k,e,t,$,V,PRF,FIN,PL,1,PST	s,k,i,t,n,a
s,i,k,e,t,$,V,IPFV,FIN,PL,1,PST	n,i,s,k,t,u
s,i,k,e,t,$,V,FIN,IMP,PL,1	i,s,k,t,u
s,i,k,e,t,$,V,PRF,FIN,FEM,SG,3,PST	s,i,k,t,e,t
s,i,k,e,t,$,V,PRF,FIN,PL,3,PST	s,i,k,t,u
s,i,k,e,t,$,V,PRF,FIN,SG,1,PST	s,k,i,t,t
s,i,k,e,t,$,V,PRF,FIN,SG,2,PST	s,k,i,t,t
s,i,k,e,t,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,s,k,o,t
s,i,k,e,t,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,s,k,o,t
s,i,k,e,t,$,V,FIN,IMP,SG,2	i,s,k,o,t
s,i,k,e,t,$,V,IPFV,FIN,PL,2,PST	t,i,s,k,t,u
s,i,k,e,t,$,V,PRF,FIN,PL,2,PST	s,k,i,t,t,u
s,i,k,e,t,$,V,IPFV,FIN,SG,2,PST	t,i,s,k,o,t
s,i,k,e,t,$,V,IPFV,FIN,SG,1,PST	n,i,s,k,o,t
s,i,k,e,t,$,V,IPFV,FIN,PL,3,PST	j,i,s,k,t,u
s,i,k,e,t,$,V,PRF,FIN,MASC,SG,3,PST	s,i,k,e,t
s,e,r,a,q,$,V,IPFV,FIN,PL,3,PST	j,i,s,i,r,q,u
s,e,r,a,q,$,V,IPFV,FIN,SG,1,PST	n,i,s,r,a,q
s,e,r,a,q,$,V,PRF,FIN,PL,1,PST	s,r,a,q,n,a
s,e,r,a,q,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,s,r,a,q
s,e,r,a,q,$,V,FIN,IMP,PL,1	i,s,i,r,q,u
s,e,r,a,q,$,V,PRF,FIN,FEM,SG,3,PST	s,e,r,q,e,t
s,e,r,a,q,$,V,PRF,FIN,SG,2,PST	s,r,a,q,t
s,e,r,a,q,$,V,PRF,FIN,PL,2,PST	s,r,a,q,t,u
s,e,r,a,q,$,V,PRF,FIN,PL,3,PST	s,e,r,q,u
s,e,r,a,q,$,V,PRF,FIN,MASC,SG,3,PST	s,e,r,a,q
s,e,r,a,q,$,V,IPFV,FIN,PL,1,PST	n,i,s,i,r,q,u
s,e,r,a,q,$,V,IPFV,FIN,SG,2,PST	t,i,s,r,a,q
s,e,r,a,q,$,V,PRF,FIN,SG,1,PST	s,r,a,q,t
s,e,r,a,q,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,s,r,a,q
s,e,r,a,q,$,V,FIN,IMP,SG,2	i,s,r,a,q
s,e,r,a,q,$,V,IPFV,FIN,PL,2,PST	t,i,s,i,r,q,u
k,i,e,n,$,V,IPFV,FIN,PL,2,PST	t,k,u,n,u
k,i,e,n,$,V,IPFV,FIN,PL,1,PST	n,k,u,n,u
k,i,e,n,$,V,IPFV,FIN,SG,1,PST	i,n,k,u,n
k,i,e,n,$,V,PRF,FIN,SG,1,PST	k,o,n,t
k,i,e,n,$,V,IPFV,FIN,FEM,SG,3,PST	t,k,u,n
k,i,e,n,$,V,IPFV,FIN,SG,2,PST	t,k,u,n
k,i,e,n,$,V,FIN,IMP,SG,2	k,u,n
k,i,e,n,$,V,PRF,FIN,PL,2,PST	k,o,n,t,u
k,i,e,n,$,V,FIN,IMP,PL,1	k,u,n,u
k,i,e,n,$,V,PRF,FIN,MASC,SG,3,PST	k,i,e,n
k,i,e,n,$,V,PRF,FIN,SG,2,PST	k,o,n,t
k,i,e,n,$,V,IPFV,FIN,PL,3,PST	i,k,u,n,u
k,i,e,n,$,V,PRF,FIN,FEM,SG,3,PST	k,i,e,n,e,t
k,i,e,n,$,V,PRF,FIN,PL,3,PST	k,i,e,n,u
k,i,e,n,$,V,PRF,FIN,PL,1,PST	k,o,n,n,a
k,i,e,n,$,V,IPFV,FIN,MASC,SG,3,PST	i,k,u,n
n,i,ż,e,l,$,V,FIN,IMP,PL,1	i,n,ż,l,u
n,i,ż,e,l,$,V,PRF,FIN,PL,2,PST	n,ż,i,l,t,u
n,i,ż,e,l,$,V,PRF,FIN,FEM,SG,3,PST	n,i,ż,l,e,t
n,i,ż,e,l,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,n,ż,e,l
n,i,ż,e,l,$,V,IPFV,FIN,SG,2,PST	t,i,n,ż,e,l
n,i,ż,e,l,$,V,IPFV,FIN,PL,1,PST	n,i,n,ż,l,u
n,i,ż,e,l,$,V,PRF,FIN,PL,1,PST	n,ż,i,l,n,a
n,i,ż,e,l,$,V,PRF,FIN,MASC,SG,3,PST	n,i,ż,e,l
n,i,ż,e,l,$,V,IPFV,FIN,SG,1,PST	n,i,n,ż,e,l
n,i,ż,e,l,$,V,FIN,IMP,SG,2	i,n,ż,e,l
n,i,ż,e,l,$,V,PRF,FIN,PL,3,PST	n,i,ż,l,u
n,i,ż,e,l,$,V,IPFV,FIN,PL,3,PST	j,i,n,ż,l,u
n,i,ż,e,l,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,n,ż,e,l
n,i,ż,e,l,$,V,PRF,FIN,SG,1,PST	n,ż,i,l,t
n,i,ż,e,l,$,V,PRF,FIN,SG,2,PST	n,ż,i,l,t
n,i,ż,e,l,$,V,IPFV,FIN,PL,2,PST	t,i,n,ż,l,u
r,a,$,V,IPFV,FIN,FEM,SG,3,PST	t,a,r,a
r,a,$,V,IPFV,FIN,SG,1,PST	n,a,r,a
r,a,$,V,IPFV,FIN,PL,3,PST	j,a,r,a,w
r,a,$,V,FIN,IMP,PL,1	a,r,a,w
r,a,$,V,FIN,IMP,SG,2	a,r,a
r,a,$,V,PRF,FIN,SG,2,PST	r,a,j,t
r,a,$,V,IPFV,FIN,MASC,SG,3,PST	j,a,r,a
r,a,$,V,IPFV,FIN,SG,2,PST	t,a,r,a
r,a,$,V,PRF,FIN,MASC,SG,3,PST	r,a
r,a,$,V,PRF,FIN,PL,1,PST	r,a,j,n,a
r,a,$,V,PRF,FIN,SG,1,PST	r,a,j,t
r,a,$,V,PRF,FIN,PL,2,PST	r,a,j,t,u
r,a,$,V,IPFV,FIN,PL,1,PST	n,a,r,a,w
r,a,$,V,PRF,FIN,PL,3,PST	r,a,w
r,a,$,V,PRF,FIN,FEM,SG,3,PST	r,a,t
r,a,$,V,IPFV,FIN,PL,2,PST	t,a,r,a,w
f,e,h,e,m,$,V,PRF,FIN,SG,1,PST	f,h,i,m,t
f,e,h,e,m,$,V,FIN,IMP,SG,2	i,f,h,e,m
f,e,h,e,m,$,V,FIN,IMP,PL,1	i,f,h,m,u
f,e,h,e,m,$,V,PRF,FIN,PL,2,PST	f,h,i,m,t,u
f,e,h,e,m,$,V,PRF,FIN,FEM,SG,3,PST	f,e,h,m,e,t
f,e,h,e,m,$,V,IPFV,FIN,PL,3,PST	j,i,f,h,m,u
f,e,h,e,m,$,V,PRF,FIN,PL,1,PST	f,h,i,m,n,a
f,e,h,e,m,$,V,PRF,FIN,MASC,SG,3,PST	f,e,h,e,m
f,e,h,e,m,$,V,IPFV,FIN,SG,2,PST	t,i,f,h,e,m
f,e,h,e,m,$,V,IPFV,FIN,SG,1,PST	n,i,f,h,e,m
f,e,h,e,m,$,V,PRF,FIN,SG,2,PST	f,h,i,m,t
f,e,h,e,m,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,f,h,e,m
f,e,h,e,m,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,f,h,e,m
f,e,h,e,m,$,V,IPFV,FIN,PL,1,PST	n,i,f,h,m,u
f,e,h,e,m,$,V,IPFV,FIN,PL,2,PST	t,i,f,h,m,u
f,e,h,e,m,$,V,PRF,FIN,PL,3,PST	f,e,h,m,u
q,a,l,$,V,IPFV,FIN,PL,2,PST	t,g,ħ,i,d,u
q,a,l,$,V,FIN,IMP,PL,1	g,ħ,i,d,u
q,a,l,$,V,IPFV,FIN,PL,3,PST	j,g,ħ,i,d,u
q,a,l,$,V,IPFV,FIN,SG,2,PST	t,g,ħ,i,d
q,a,l,$,V,IPFV,FIN,MASC,SG,3,PST	j,g,ħ,i,d
q,a,l,$,V,IPFV,FIN,PL,1,PST	n,g,ħ,i,d,u
q,a,l,$,V,PRF,FIN,PL,1,PST	g,ħ,e,d,n,a
q,a,l,$,V,PRF,FIN,FEM,SG,3,PST	q,a,l,e,t
q,a,l,$,V,PRF,FIN,PL,3,PST	q,a,l,u
q,a,l,$,V,PRF,FIN,SG,2,PST	g,ħ,e,d,t
q,a,l,$,V,IPFV,FIN,FEM,SG,3,PST	t,g,ħ,i,d
q,a,l,$,V,PRF,FIN,PL,2,PST	g,ħ,e,d,t,u
q,a,l,$,V,PRF,FIN,SG,1,PST	g,ħ,e,d,t
q,a,l,$,V,FIN,IMP,SG,2	g,ħ,i,d
q,a,l,$,V,IPFV,FIN,SG,1,PST	n,g,ħ,i,d
q,a,l,$,V,PRF,FIN,MASC,SG,3,PST	q,a,l