s,e,k,a,$,V,SG,1,HOD	n,d,a,s,e,k,a
v,h,a,r,a,$,V,PL,1,HOD	t,a,v,h,a,r,a
v,h,a,r,a,$,V,SG,2,PRS	u,n,o,v,h,a,r,a
v,h,a,r,a,$,V,PL,1,PRS	t,i,n,o,v,h,a,r,a
v,h,a,r,a,$,V,PL,3,HOD	v,a,v,h,a,r,a
v,h,a,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,v,h,a,r,a
v,h,a,r,a,$,V,PL,2,PRS	m,u,n,o,v,h,a,r,a
v,h,a,r,a,$,V,SG,2,FUT	u,c,h,a,v,h,a,r,a
v,h,a,r,a,$,V,SG,3,PST	a,k,a,v,h,a,r,a
v,h,a,r,a,$,V,PL,1,PST	t,a,k,a,v,h,a,r,a
v,h,a,r,a,$,V,PL,3,FUT	v,a,c,h,a,v,h,a,r,a
v,h,a,r,a,$,V,SG,2,PST	w,a,k,a,v,h,a,r,a
v,h,a,r,a,$,V,SG,3,PRS	a,n,o,v,h,a,r,a
v,h,a,r,a,$,V,PL,1,FUT	t,i,c,h,a,v,h,a,r,a
v,h,a,r,a,$,V,PL,3,PST	v,a,k,a,v,h,a,r,a
v,h,a,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,v,h,a,r,a
p,i,n,d,u,r,a,$,V,PL,1,PRS	t,i,n,o,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,3,HOD	v,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,3,PST	a,k,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,2,PRS	u,n,o,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,3,HOD	a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,1,PST	t,a,k,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,2,HOD	w,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,2,PST	w,a,k,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,3,PRS	a,n,o,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,2,PRS	m,u,n,o,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,1,FUT	t,i,c,h,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,2,FUT	u,c,h,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,1,PST	n,d,a,k,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,2,PST	m,a,k,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,3,FUT	v,a,c,h,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,2,HOD	m,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,3,PST	v,a,k,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,1,PRS	n,d,i,n,o,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,3,PRS	v,a,n,o,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,3,FUT	a,c,h,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,2,FUT	m,u,c,h,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,SG,1,HOD	n,d,a,p,i,n,d,u,r,a
p,i,n,d,u,r,a,$,V,PL,1,HOD	t,a,p,i,n,d,u,r,a
v,h,u,r,a,$,V,PL,2,PST	m,a,k,a,v,h,u,r,a
v,h,u,r,a,$,V,PL,2,FUT	m,u,c,h,a,v,h,u,r,a
v,h,u,r,a,$,V,SG,1,HOD	n,d,a,v,h,u,r,a
v,h,u,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,v,h,u,r,a
v,h,u,r,a,$,V,SG,1,PRS	n,d,i,n,o,v,h,u,r,a
v,h,u,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,v,h,u,r,a
v,h,u,r,a,$,V,SG,2,FUT	u,c,h,a,v,h,u,r,a
v,h,u,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,v,h,u,r,a
v,h,u,r,a,$,V,SG,3,FUT	a,c,h,a,v,h,u,r,a
v,h,u,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,v,h,u,r,a
v,h,u,r,a,$,V,PL,1,FUT	t,i,c,h,a,v,h,u,r,a
v,h,u,r,a,$,V,PL,3,PRS	v,a,n,o,v,h,u,r,a
v,h,u,r,a,$,V,SG,3,PST	a,k,a,v,h,u,r,a
v,h,u,r,a,$,V,PL,1,PST	t,a,k,a,v,h,u,r,a
v,h,u,r,a,$,V,SG,1,PST	n,d,a,k,a,v,h,u,r,a
v,h,u,r,a,$,V,SG,2,HOD	w,a,v,h,u,r,a
v,h,u,r,a,$,V,PL,3,HOD	v,a,v,h,u,r,a
v,h,u,r,a,$,V,PL,2,HOD	m,a,v,h,u,r,a
v,h,u,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,v,h,u,r,a
v,h,u,r,a,$,V,PL,3,PST	v,a,k,a,v,h,u,r,a
v,h,u,r,a,$,V,SG,3,HOD	a,v,h,u,r,a
v,h,u,r,a,$,V,PL,3,FUT	v,a,c,h,a,v,h,u,r,a
v,h,u,r,a,$,V,SG,2,PST	w,a,k,a,v,h,u,r,a
v,h,u,r,a,$,V,PL,1,HOD	t,a,v,h,u,r,a
v,h,u,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,v,h,u,r,a
v,h,u,r,a,$,V,PL,2,PRS	m,u,n,o,v,h,u,r,a
v,h,u,r,a,$,V,SG,3,PRS	a,n,o,v,h,u,r,a
v,h,u,r,a,$,V,PL,1,PRS	t,i,n,o,v,h,u,r,a
v,h,u,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,v,h,u,r,a
v,h,u,r,a,$,V,SG,2,PRS	u,n,o,v,h,u,r,a
r,a,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,a,r,a
r,a,r,a,$,V,PL,3,HOD	v,a,r,a,r,a
r,a,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,a,r,a
r,a,r,a,$,V,SG,1,PRS	n,d,i,n,o,r,a,r,a
r,a,r,a,$,V,SG,3,PST	a,k,a,r,a,r,a
r,a,r,a,$,V,SG,2,PRS	u,n,o,r,a,r,a
r,a,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,r,a,r,a
r,a,r,a,$,V,PL,2,HOD	m,a,r,a,r,a
r,a,r,a,$,V,SG,2,FUT	u,c,h,a,r,a,r,a
r,a,r,a,$,V,PL,1,PST	t,a,k,a,r,a,r,a
r,a,r,a,$,V,PL,2,PST	m,a,k,a,r,a,r,a
r,a,r,a,$,V,PL,1,FUT	t,i,c,h,a,r,a,r,a
r,a,r,a,$,V,PL,3,PST	v,a,k,a,r,a,r,a
r,a,r,a,$,V,PL,1,HOD	t,a,r,a,r,a
r,a,r,a,$,V,PL,3,FUT	v,a,c,h,a,r,a,r,a
r,a,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,r,a,r,a
r,a,r,a,$,V,PL,3,PRS	v,a,n,o,r,a,r,a
r,a,r,a,$,V,SG,1,PST	n,d,a,k,a,r,a,r,a
r,a,r,a,$,V,SG,3,FUT	a,c,h,a,r,a,r,a
r,a,r,a,$,V,PL,1,PRS	t,i,n,o,r,a,r,a
r,a,r,a,$,V,PL,2,PRS	m,u,n,o,r,a,r,a
r,a,r,a,$,V,SG,2,PST	w,a,k,a,r,a,r,a
r,a,r,a,$,V,SG,3,HOD	a,r,a,r,a
r,a,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,a,r,a
r,a,r,a,$,V,SG,3,PRS	a,n,o,r,a,r,a
r,a,r,a,$,V,PL,2,FUT	m,u,c,h,a,r,a,r,a
r,a,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,r,a,r,a
r,a,r,a,$,V,SG,2,HOD	w,a,r,a,r,a
r,a,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,a,r,a
r,a,r,a,$,V,SG,1,HOD	n,d,a,r,a,r,a
d,z,i,k,i,s,a,$,V,SG,3,HOD	a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,1,PRS	t,i,n,o,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,1,HOD	n,d,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,2,PRS	m,u,n,o,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,1,PST	n,d,a,k,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,2,HOD	m,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,2,HOD	w,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,1,FUT	t,i,c,h,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,3,PST	a,k,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,1,PRS	n,d,i,n,o,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,3,FUT	v,a,c,h,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,2,PST	w,a,k,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,3,PRS	a,n,o,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,2,FUT	m,u,c,h,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,3,PRS	v,a,n,o,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,1,PST	t,a,k,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,1,HOD	t,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,2,PST	m,a,k,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,3,HOD	v,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,2,PRS	u,n,o,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,PL,3,PST	v,a,k,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,2,FUT	u,c,h,a,d,z,i,k,i,s,a
d,z,i,k,i,s,a,$,V,SG,3,FUT	a,c,h,a,d,z,i,k,i,s,a
f,e,m,a,$,V,SG,1,FUT	n,d,i,c,h,a,f,e,m,a
f,e,m,a,$,V,PL,1,PRS	t,i,n,o,f,e,m,a
f,e,m,a,$,V,PL,2,HOD	m,a,f,e,m,a
f,e,m,a,$,V,PL,2,PRS	m,u,n,o,f,e,m,a
f,e,m,a,$,V,PL,1,PST	t,a,k,a,f,e,m,a
f,e,m,a,$,V,PL,3,FUT	v,a,c,h,a,f,e,m,a
f,e,m,a,$,V,SG,1,PRS	n,d,i,n,o,f,e,m,a
f,e,m,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,f,e,m,a
f,e,m,a,$,V,PL,1,HOD	t,a,f,e,m,a
f,e,m,a,$,V,SG,2,PRS	u,n,o,f,e,m,a
f,e,m,a,$,V,SG,3,FUT	a,c,h,a,f,e,m,a
f,e,m,a,$,V,PL,1,FUT	t,i,c,h,a,f,e,m,a
f,e,m,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,f,e,m,a
f,e,m,a,$,V,SG,2,PST	w,a,k,a,f,e,m,a
f,e,m,a,$,V,SG,2,HOD	w,a,f,e,m,a
f,e,m,a,$,V,SG,3,HOD	a,f,e,m,a
f,e,m,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,f,e,m,a
f,e,m,a,$,V,SG,2,FUT	u,c,h,a,f,e,m,a
f,e,m,a,$,V,SG,3,PST	a,k,a,f,e,m,a
f,e,m,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,f,e,m,a
f,e,m,a,$,V,PL,3,PRS	v,a,n,o,f,e,m,a
f,e,m,a,$,V,PL,2,PST	m,a,k,a,f,e,m,a
f,e,m,a,$,V,SG,1,PST	n,d,a,k,a,f,e,m,a
f,e,m,a,$,V,PL,3,PST	v,a,k,a,f,e,m,a
f,e,m,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,f,e,m,a
f,e,m,a,$,V,SG,3,PRS	a,n,o,f,e,m,a
f,e,m,a,$,V,PL,3,HOD	v,a,f,e,m,a
f,e,m,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,f,e,m,a
f,e,m,a,$,V,PL,2,FUT	m,u,c,h,a,f,e,m,a
f,e,m,a,$,V,SG,1,HOD	n,d,a,f,e,m,a
e,n,d,a,$,V,PL,3,HOD	v,a,e,n,d,a
e,n,d,a,$,V,PL,2,FUT	m,u,c,h,a,e,n,d,a
e,n,d,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,e,n,d,a
e,n,d,a,$,V,PL,3,PST	v,a,k,a,e,n,d,a
e,n,d,a,$,V,PL,1,PST	t,a,k,a,e,n,d,a
e,n,d,a,$,V,SG,2,PST	w,a,k,a,e,n,d,a
e,n,d,a,$,V,SG,1,FUT	n,d,i,c,h,a,e,n,d,a
e,n,d,a,$,V,PL,1,HOD	t,a,e,n,d,a
e,n,d,a,$,V,PL,1,PRS	t,i,n,o,e,n,d,a
e,n,d,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,e,n,d,a
e,n,d,a,$,V,SG,1,PRS	n,d,i,n,o,e,n,d,a
e,n,d,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,e,n,d,a
e,n,d,a,$,V,SG,3,PRS	a,n,o,e,n,d,a
e,n,d,a,$,V,SG,1,HOD	n,d,a,e,n,d,a
e,n,d,a,$,V,SG,2,HOD	w,a,e,n,d,a
e,n,d,a,$,V,SG,1,PST	n,d,a,k,a,e,n,d,a
e,n,d,a,$,V,SG,3,HOD	a,e,n,d,a
e,n,d,a,$,V,PL,2,HOD	m,a,e,n,d,a
e,n,d,a,$,V,PL,1,FUT	t,i,c,h,a,e,n,d,a
e,n,d,a,$,V,PL,3,PRS	v,a,n,o,e,n,d,a
e,n,d,a,$,V,PL,3,FUT	v,a,c,h,a,e,n,d,a
e,n,d,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,e,n,d,a
e,n,d,a,$,V,PL,2,PRS	m,u,n,o,e,n,d,a
e,n,d,a,$,V,SG,3,PST	a,k,a,e,n,d,a
e,n,d,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,e,n,d,a
e,n,d,a,$,V,SG,3,FUT	a,c,h,a,e,n,d,a
e,n,d,a,$,V,SG,2,PRS	u,n,o,e,n,d,a
e,n,d,a,$,V,SG,2,FUT	u,c,h,a,e,n,d,a
e,n,d,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,e,n,d,a
e,n,d,a,$,V,PL,2,PST	m,a,k,a,e,n,d,a
n,y,o,r,a,$,V,PL,1,PST	t,a,k,a,n,y,o,r,a
n,y,o,r,a,$,V,SG,3,FUT	a,c,h,a,n,y,o,r,a
n,y,o,r,a,$,V,PL,2,PST	m,a,k,a,n,y,o,r,a
n,y,o,r,a,$,V,SG,1,PRS	n,d,i,n,o,n,y,o,r,a
n,y,o,r,a,$,V,SG,1,PST	n,d,a,k,a,n,y,o,r,a
n,y,o,r,a,$,V,PL,3,PST	v,a,k,a,n,y,o,r,a
n,y,o,r,a,$,V,SG,1,HOD	n,d,a,n,y,o,r,a
n,y,o,r,a,$,V,SG,2,PST	w,a,k,a,n,y,o,r,a
n,y,o,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,n,y,o,r,a
n,y,o,r,a,$,V,PL,1,HOD	t,a,n,y,o,r,a
n,y,o,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,n,y,o,r,a
n,y,o,r,a,$,V,SG,2,HOD	w,a,n,y,o,r,a
n,y,o,r,a,$,V,PL,1,FUT	t,i,c,h,a,n,y,o,r,a
n,y,o,r,a,$,V,SG,2,PRS	u,n,o,n,y,o,r,a
n,y,o,r,a,$,V,PL,2,HOD	m,a,n,y,o,r,a
n,y,o,r,a,$,V,PL,3,HOD	v,a,n,y,o,r,a
n,y,o,r,a,$,V,PL,3,PRS	v,a,n,o,n,y,o,r,a
n,y,o,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,n,y,o,r,a
n,y,o,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,n,y,o,r,a
n,y,o,r,a,$,V,PL,3,FUT	v,a,c,h,a,n,y,o,r,a
n,y,o,r,a,$,V,SG,3,PST	a,k,a,n,y,o,r,a
n,y,o,r,a,$,V,PL,1,PRS	t,i,n,o,n,y,o,r,a
n,y,o,r,a,$,V,SG,3,HOD	a,n,y,o,r,a
n,y,o,r,a,$,V,PL,2,PRS	m,u,n,o,n,y,o,r,a
n,y,o,r,a,$,V,PL,2,FUT	m,u,c,h,a,n,y,o,r,a
n,y,o,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,n,y,o,r,a
n,y,o,r,a,$,V,SG,2,FUT	u,c,h,a,n,y,o,r,a
n,y,o,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,n,y,o,r,a
n,y,o,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,n,y,o,r,a
n,y,o,r,a,$,V,SG,3,PRS	a,n,o,n,y,o,r,a
b,v,u,n,z,a,$,V,SG,2,HOD	w,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,2,PRS	m,u,n,o,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,2,FUT	m,u,c,h,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,1,PRS	n,d,i,n,o,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,3,HOD	v,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,1,FUT	t,i,c,h,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,3,PST	v,a,k,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,1,PST	t,a,k,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,3,FUT	v,a,c,h,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,1,PRS	t,i,n,o,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,1,PST	n,d,a,k,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,1,HOD	t,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,3,FUT	a,c,h,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,2,FUT	u,c,h,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,2,PRS	u,n,o,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,3,PST	a,k,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,2,HOD	m,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,2,PST	w,a,k,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,1,FUT	n,d,i,c,h,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,2,PST	m,a,k,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,1,HOD	n,d,a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PL,3,PRS	v,a,n,o,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,3,HOD	a,b,v,u,n,z,a
b,v,u,n,z,a,$,V,SG,3,PRS	a,n,o,b,v,u,n,z,a
b,v,u,n,z,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,b,v,u,n,z,a
i,d,y,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,y,a
i,d,y,a,$,V,SG,3,PRS	a,n,o,d,y,a
i,d,y,a,$,V,PL,3,PRS	v,a,n,o,d,y,a
i,d,y,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,y,a
i,d,y,a,$,V,PL,3,FUT	v,a,c,h,a,d,y,a
i,d,y,a,$,V,SG,2,PST	w,a,k,a,d,y,a
i,d,y,a,$,V,SG,2,PRS	u,n,o,d,y,a
i,d,y,a,$,V,SG,3,FUT	a,c,h,a,d,y,a
i,d,y,a,$,V,PL,1,FUT	t,i,c,h,a,d,y,a
i,d,y,a,$,V,PL,1,PRS	t,i,n,o,d,y,a
i,d,y,a,$,V,PL,2,PRS	m,u,n,o,d,y,a
i,d,y,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,y,a
i,d,y,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,y,a
i,d,y,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,y,a
i,d,y,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,y,a
i,d,y,a,$,V,SG,3,HOD	a,d,y,a
i,d,y,a,$,V,PL,2,FUT	m,u,c,h,a,d,y,a
i,d,y,a,$,V,SG,2,FUT	u,c,h,a,d,y,a
i,d,y,a,$,V,SG,1,HOD	n,d,a,d,y,a
i,d,y,a,$,V,PL,2,PST	m,a,k,a,d,y,a
i,d,y,a,$,V,PL,3,PST	v,a,k,a,d,y,a
i,d,y,a,$,V,PL,1,PST	t,a,k,a,d,y,a
i,d,y,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,y,a
i,d,y,a,$,V,SG,2,HOD	w,a,d,y,a
i,d,y,a,$,V,SG,3,PST	a,k,a,d,y,a
i,d,y,a,$,V,PL,3,HOD	v,a,d,y,a
i,d,y,a,$,V,PL,1,HOD	t,a,d,y,a
i,d,y,a,$,V,PL,2,HOD	m,a,d,y,a
i,d,y,a,$,V,SG,1,PRS	n,d,i,n,o,d,y,a
i,d,y,a,$,V,SG,1,PST	n,d,a,k,a,d,y,a
t,a,m,b,a,$,V,SG,3,HOD	a,t,a,m,b,a
t,a,m,b,a,$,V,SG,2,FUT	u,c,h,a,t,a,m,b,a
t,a,m,b,a,$,V,PL,3,HOD	v,a,t,a,m,b,a
t,a,m,b,a,$,V,PL,2,PRS	m,u,n,o,t,a,m,b,a
t,a,m,b,a,$,V,SG,2,PRS	u,n,o,t,a,m,b,a
t,a,m,b,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,a,m,b,a
t,a,m,b,a,$,V,SG,3,FUT	a,c,h,a,t,a,m,b,a
t,a,m,b,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,a,m,b,a
t,a,m,b,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,a,m,b,a
t,a,m,b,a,$,V,PL,2,PST	m,a,k,a,t,a,m,b,a
t,a,m,b,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,m,b,a
t,a,m,b,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,a,m,b,a
t,a,m,b,a,$,V,PL,3,FUT	v,a,c,h,a,t,a,m,b,a
t,a,m,b,a,$,V,PL,1,FUT	t,i,c,h,a,t,a,m,b,a
t,a,m,b,a,$,V,PL,3,PST	v,a,k,a,t,a,m,b,a
t,a,m,b,a,$,V,SG,1,HOD	n,d,a,t,a,m,b,a
t,a,m,b,a,$,V,SG,2,PST	w,a,k,a,t,a,m,b,a
t,a,m,b,a,$,V,SG,3,PST	a,k,a,t,a,m,b,a
t,a,m,b,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,m,b,a
t,a,m,b,a,$,V,SG,1,PST	n,d,a,k,a,t,a,m,b,a
t,a,m,b,a,$,V,SG,3,PRS	a,n,o,t,a,m,b,a
t,a,m,b,a,$,V,PL,1,HOD	t,a,t,a,m,b,a
t,a,m,b,a,$,V,PL,1,PST	t,a,k,a,t,a,m,b,a
t,a,m,b,a,$,V,PL,2,HOD	m,a,t,a,m,b,a
t,a,m,b,a,$,V,PL,2,FUT	m,u,c,h,a,t,a,m,b,a
t,a,m,b,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,m,b,a
t,a,m,b,a,$,V,SG,2,HOD	w,a,t,a,m,b,a
t,a,m,b,a,$,V,PL,3,PRS	v,a,n,o,t,a,m,b,a
t,a,m,b,a,$,V,SG,1,PRS	n,d,i,n,o,t,a,m,b,a
t,a,m,b,a,$,V,PL,1,PRS	t,i,n,o,t,a,m,b,a
