s,e,k,a,$,V,SG,1,HOD	n,d,a,s,e,k,a
k,a,n,g,a,n,w,a,$,V,PL,2,HOD	m,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,1,PRS	n,d,i,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,1,HOD	t,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,2,PRS	u,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,3,PRS	a,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,3,PST	v,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,2,FUT	m,u,c,h,a,k,a,n,g,a,n,w,a
r,a,t,i,d,z,a,$,V,PL,1,FUT	t,i,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,1,PRS	n,d,i,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,1,PST	n,d,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,1,PRS	t,i,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,2,FUT	u,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,2,PRS	m,u,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,3,PST	v,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,2,PST	w,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,1,PST	t,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,2,HOD	w,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,1,HOD	n,d,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,3,FUT	v,a,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,2,PRS	u,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,2,PST	m,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,2,HOD	m,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,3,PRS	a,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,3,FUT	a,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,3,HOD	v,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,2,FUT	m,u,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,3,PRS	v,a,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,3,HOD	a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,3,PST	a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,1,HOD	t,a,r,a,t,i,d,z,a
t,u,m,i,r,a,$,V,SG,2,PRS	u,n,o,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,3,FUT	a,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,2,HOD	w,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,3,PRS	v,a,n,o,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,1,HOD	t,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,1,HOD	n,d,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,2,PST	m,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,3,HOD	a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,2,PRS	m,u,n,o,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,1,PST	n,d,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,3,PRS	a,n,o,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,3,FUT	v,a,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,3,PST	a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,2,FUT	u,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,3,PST	v,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,1,PST	t,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,3,HOD	v,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,2,HOD	m,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,2,PST	w,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,1,PRS	n,d,i,n,o,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,1,PRS	t,i,n,o,t,u,m,i,r,a
f,a,r,i,r,a,$,V,SG,2,PST	w,a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,3,PST	a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,3,PST	v,a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,3,PRS	a,n,o,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,3,FUT	v,a,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,2,PRS	u,n,o,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,1,HOD	t,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,3,FUT	a,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,2,HOD	m,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,1,PRS	n,d,i,n,o,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,3,PRS	v,a,n,o,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,2,FUT	u,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,1,HOD	n,d,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,2,PRS	m,u,n,o,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,3,HOD	v,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,2,HOD	w,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,1,PRS	t,i,n,o,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,1,PST	n,d,a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,SG,3,HOD	a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,1,PST	t,a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,$,V,PL,2,PST	m,a,k,a,f,a,r,i,r,a
k,w,a,n,i,s,a,$,V,SG,3,HOD	a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,2,PST	w,a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,1,FUT	t,i,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,2,FUT	m,u,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,3,HOD	v,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,2,PRS	u,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,1,PST	n,d,a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,1,PRS	t,i,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,2,HOD	m,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,2,FUT	u,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,2,PRS	m,u,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,2,HOD	w,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,1,HOD	n,d,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,2,PST	m,a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,1,PRS	n,d,i,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,3,PRS	v,a,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,3,PST	v,a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,3,PRS	a,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,1,HOD	t,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,3,FUT	v,a,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,PL,1,PST	t,a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,3,PST	a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,$,V,SG,3,FUT	a,c,h,a,k,w,a,n,i,s,a
t,e,r,e,r,a,$,V,SG,3,HOD	a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,2,PRS	m,u,n,o,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,2,HOD	m,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,1,FUT	t,i,c,h,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,1,PST	n,d,a,k,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,2,PST	w,a,k,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,3,PRS	v,a,n,o,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,2,FUT	u,c,h,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,1,PRS	n,d,i,n,o,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,2,HOD	w,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,3,PST	a,k,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,3,PST	v,a,k,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,3,PRS	a,n,o,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,3,FUT	a,c,h,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,2,FUT	m,u,c,h,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,1,HOD	t,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,2,PRS	u,n,o,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,3,FUT	v,a,c,h,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,1,PRS	t,i,n,o,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,1,PST	t,a,k,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,SG,1,HOD	n,d,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,3,HOD	v,a,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,e,r,e,r,a
t,e,r,e,r,a,$,V,PL,2,PST	m,a,k,a,t,e,r,e,r,a
g,a,r,a,$,V,SG,2,PRS	u,n,o,g,a,r,a
g,a,r,a,$,V,SG,3,HOD	a,g,a,r,a
g,a,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,g,a,r,a
g,a,r,a,$,V,PL,3,PST	v,a,k,a,g,a,r,a
g,a,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,g,a,r,a
g,a,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,g,a,r,a
g,a,r,a,$,V,SG,2,FUT	u,c,h,a,g,a,r,a
g,a,r,a,$,V,SG,1,HOD	n,d,a,g,a,r,a
g,a,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,g,a,r,a
g,a,r,a,$,V,PL,1,HOD	t,a,g,a,r,a
g,a,r,a,$,V,SG,2,HOD	w,a,g,a,r,a
g,a,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,g,a,r,a
g,a,r,a,$,V,SG,1,PRS	n,d,i,n,o,g,a,r,a
g,a,r,a,$,V,SG,1,PST	n,d,a,k,a,g,a,r,a
g,a,r,a,$,V,PL,2,HOD	m,a,g,a,r,a
g,a,r,a,$,V,PL,3,FUT	v,a,c,h,a,g,a,r,a
g,a,r,a,$,V,PL,3,HOD	v,a,g,a,r,a
g,a,r,a,$,V,SG,3,PST	a,k,a,g,a,r,a
g,a,r,a,$,V,PL,3,PRS	v,a,n,o,g,a,r,a
g,a,r,a,$,V,PL,2,PRS	m,u,n,o,g,a,r,a
g,a,r,a,$,V,PL,1,PRS	t,i,n,o,g,a,r,a
g,a,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,g,a,r,a
g,a,r,a,$,V,PL,1,PST	t,a,k,a,g,a,r,a
g,a,r,a,$,V,PL,1,FUT	t,i,c,h,a,g,a,r,a
g,a,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,g,a,r,a
g,a,r,a,$,V,SG,3,FUT	a,c,h,a,g,a,r,a
g,a,r,a,$,V,SG,3,PRS	a,n,o,g,a,r,a
g,a,r,a,$,V,SG,2,PST	w,a,k,a,g,a,r,a
g,a,r,a,$,V,PL,2,PST	m,a,k,a,g,a,r,a
g,a,r,a,$,V,PL,2,FUT	m,u,c,h,a,g,a,r,a
s,h,a,n,d,i,s,a,$,V,PL,1,PST	t,a,k,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,2,PRS	m,u,n,o,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,2,PST	w,a,k,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,3,PST	v,a,k,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,3,HOD	v,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,1,PST	n,d,a,k,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,1,HOD	t,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,3,PRS	v,a,n,o,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,2,FUT	u,c,h,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,3,FUT	v,a,c,h,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,3,HOD	a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,1,PRS	t,i,n,o,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,1,FUT	t,i,c,h,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,2,FUT	m,u,c,h,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,2,PRS	u,n,o,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,2,HOD	m,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,3,PST	a,k,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,3,FUT	a,c,h,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,2,HOD	w,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,3,PRS	a,n,o,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,PL,2,PST	m,a,k,a,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,1,PRS	n,d,i,n,o,s,h,a,n,d,i,s,a
s,h,a,n,d,i,s,a,$,V,SG,1,HOD	n,d,a,s,h,a,n,d,i,s,a
v,e,r,e,n,g,a,$,V,SG,2,PST	w,a,k,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,1,FUT	t,i,c,h,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,2,FUT	u,c,h,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,2,PRS	u,n,o,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,3,FUT	v,a,c,h,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,3,HOD	v,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,1,PST	n,d,a,k,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,3,PRS	v,a,n,o,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,1,HOD	n,d,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,2,PRS	m,u,n,o,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,3,PST	a,k,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,3,FUT	a,c,h,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,1,PST	t,a,k,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,3,PST	v,a,k,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,1,FUT	n,d,i,c,h,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,2,FUT	m,u,c,h,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,1,PRS	t,i,n,o,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,1,PRS	n,d,i,n,o,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,3,PRS	a,n,o,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,2,HOD	w,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,SG,3,HOD	a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,1,HOD	t,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,2,HOD	m,a,v,e,r,e,n,g,a
v,e,r,e,n,g,a,$,V,PL,2,PST	m,a,k,a,v,e,r,e,n,g,a
u,y,a,$,V,SG,1,PST	n,d,a,k,a,u,y,a
u,y,a,$,V,PL,2,HOD	m,a,u,y,a
u,y,a,$,V,SG,2,HOD	w,a,u,y,a
u,y,a,$,V,SG,1,HOD	n,d,a,u,y,a
u,y,a,$,V,PL,3,PRS	v,a,n,o,u,y,a
u,y,a,$,V,PL,3,HOD	v,a,u,y,a
u,y,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,u,y,a
u,y,a,$,V,PL,2,PRS	m,u,n,o,u,y,a
u,y,a,$,V,SG,3,FUT	a,c,h,a,u,y,a
u,y,a,$,V,PL,1,FUT	t,i,c,h,a,u,y,a
u,y,a,$,V,SG,2,FUT	u,c,h,a,u,y,a
u,y,a,$,V,PL,2,FUT	m,u,c,h,a,u,y,a
u,y,a,$,V,PL,3,FUT	v,a,c,h,a,u,y,a
u,y,a,$,V,PL,1,PRS	t,i,n,o,u,y,a
u,y,a,$,V,SG,3,HOD	a,u,y,a
u,y,a,$,V,SG,3,PRS	a,n,o,u,y,a
u,y,a,$,V,PL,3,PST	v,a,k,a,u,y,a
u,y,a,$,V,SG,1,FUT	n,d,i,c,h,a,u,y,a
u,y,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,u,y,a
u,y,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,u,y,a
u,y,a,$,V,SG,2,PRS	u,n,o,u,y,a
u,y,a,$,V,SG,1,PRS	n,d,i,n,o,u,y,a
u,y,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,u,y,a
u,y,a,$,V,PL,1,HOD	t,a,u,y,a
u,y,a,$,V,PL,1,PST	t,a,k,a,u,y,a
u,y,a,$,V,PL,2,PST	m,a,k,a,u,y,a
u,y,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,u,y,a
u,y,a,$,V,SG,3,PST	a,k,a,u,y,a
u,y,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,u,y,a
u,y,a,$,V,SG,2,PST	w,a,k,a,u,y,a
i,s,a,$,V,SG,3,FUT	a,c,h,a,i,s,a
i,s,a,$,V,PL,3,FUT	v,a,c,h,a,i,s,a
i,s,a,$,V,SG,2,PRS	u,n,o,i,s,a
i,s,a,$,V,PL,1,PST	t,a,k,a,i,s,a
i,s,a,$,V,SG,1,PRS	n,d,i,n,o,i,s,a
i,s,a,$,V,PL,2,PST	m,a,k,a,i,s,a
i,s,a,$,V,SG,1,HOD	n,d,a,i,s,a
i,s,a,$,V,SG,2,FUT	u,c,h,a,i,s,a
i,s,a,$,V,PL,3,HOD	v,a,i,s,a
