д,и,г,а,р,ҷ,и,н,с,г,а,р,о,$,N,SG	д,и,г,а,р,ҷ,и,н,с,г,а,р,о
б,а,д,а,н,$,N,NDEF,SG	б,а,д,а,н
с,о,л,$,N,NDEF,SG	с,о,л
г,о,л,$,N,NDEF,SG	г,о,л
м,о,с,т,$,N,NDEF,SG	м,о,с,т
с,и,ф,а,т,$,N,NDEF,SG	с,и,ф,а,т
н,у,р,$,N,NDEF,SG	н,у,р
б,о,д,$,N,NDEF,SG	б,о,д
д,у,д,$,N,NDEF,SG	д,у,д
к,и,ш,в,а,р,$,N,SG	к,и,ш,в,а,р
к,и,т,о,б,$,N,SG	к,и,т,о,б
д,о,к,т,о,р,$,N,NDEF,SG	д,о,к,т,о,р
с,а,б,з,а,$,N,NDEF,SG	с,а,б,з,а
б,а,р,о,д,а,р,$,N,SG	б,а,р,о,д,а,р
ҳ,а,м,с,о,я,$,N,SG	ҳ,а,м,с,о,я
н,а,в,и,с,а,н,д,а,$,N,SG	н,а,в,и,с,а,н,д,а
ҷ,а,з,и,р,а,$,N,SG	ҷ,а,з,и,р,а
д,и,л,$,N,NDEF,SG	д,и,л
н,о,м,$,N,NDEF,SG	н,о,м
т,у,т,$,N,NDEF,SG	т,у,т
д,а,р,$,N,NDEF,SG	д,а,р
з,о,ғ,$,N,NDEF,SG	з,о,ғ
н,а,м,$,N,NDEF,SG	н,а,м
ҳ,а,й,в,о,н,$,N,SG	ҳ,а,й,в,о,н
л,у,ғ,а,т,$,N,SG	л,у,ғ,а,т
м,е,х,$,N,NDEF,SG	м,е,х
в,о,ж,а,$,N,SG	в,о,ж,а
у,қ,о,б,$,N,SG	у,қ,о,б
з,а,б,о,н,$,N,SG	з,а,б,о,н
л,о,л,а,$,N,NDEF,SG	л,о,л,а
б,а,с,к,е,т,б,о,л,$,N,NDEF,SG	б,а,с,к,е,т,б,о,л
к,а,л,и,м,а,$,N,SG	к,а,л,и,м,а
г,у,р,б,а,$,N,SG	г,у,р,б,а
р,е,ш,а,$,N,NDEF,SG	р,е,ш,а
х,о,н,а,в,о,д,а,$,N,SG	х,о,н,а,в,о,д,а
д,у,ҷ,и,н,с,г,а,р,о,$,N,SG	д,у,ҷ,и,н,с,г,а,р,о
ф,и,л,$,N,NDEF,SG	ф,и,л
б,у,м,$,N,NDEF,SG	б,у,м
м,а,р,д,у,м,$,N,SG	м,а,р,д,у,м
р,у,с,$,N,NDEF,SG	р,у,с
а,н,г,у,ш,т,$,N,SG	а,н,г,у,ш,т
б,е,л,$,N,NDEF,SG	б,е,л
б,и,ё,б,о,н,$,N,SG	б,и,ё,б,о,н
х,а,р,$,N,NDEF,SG	х,а,р
б,у,д,а,н,$,V,NFIN	б,у,д,а,н
р,а,н,г,$,N,SG	р,а,н,г
о,ш,$,N,NDEF,SG	о,ш
м,а,р,т,$,N,NDEF,SG	м,а,р,т
п,а,р,$,N,NDEF,SG	п,а,р
д,и,н,$,N,NDEF,SG	д,и,н
ҷ,а,в,о,н,$,N,SG	ҷ,а,в,о,н
д,а,м,$,N,NDEF,SG	д,а,м