á,s,a,$,V,IPFV,AGFOC	u,m,a,á,s,a
á,s,a,$,V,PFV,AGFOC	u,m,á,s,a
á,s,a,$,V,PFOC,LGSPEC1	a,á,s,a,h,a,n
á,s,a,$,V,NFIN	á,s,a
á,s,a,$,V,AGFOC,LGSPEC1	a,á,s,a
á,s,a,$,V,PFV,PFOC	i,n,á,s,a,h,a,n
á,s,a,$,V,IPFV,PFOC	i,n,a,á,s,a,h,a,n
l,í,t,o,$,V,PFV,AGFOC	n,a,l,í,t,o
l,í,t,o,$,V,PFOC,LGSPEC1	l,i,l,i,t,u,h,i,n
l,í,t,o,$,V,PFV,PFOC	n,i,l,í,t,o
l,í,t,o,$,V,AGFOC,LGSPEC1	m,a,l,i,l,í,t,o
l,í,t,o,$,V,NFIN	l,í,t,o
l,í,t,o,$,V,IPFV,AGFOC	n,a,l,i,l,í,t,o
l,í,t,o,$,V,IPFV,PFOC	n,i,l,i,l,í,t,o
b,a,l,i,t,a,$,V,PFOC,LGSPEC1	i,b,a,b,a,l,i,t,a
b,a,l,i,t,a,$,V,PFV,AGFOC	n,a,g,b,a,l,i,t,a
b,a,l,i,t,a,$,V,PFV,PFOC	b,i,n,a,l,i,t,a
b,a,l,i,t,a,$,V,IPFV,PFOC	b,i,n,a,b,a,l,i,t,a
b,a,l,i,t,a,$,V,NFIN	b,a,l,i,t,a
b,a,l,i,t,a,$,V,AGFOC,LGSPEC1	m,a,g,b,a,b,a,l,i,t,a
b,a,l,i,t,a,$,V,IPFV,AGFOC	n,a,g,b,a,b,a,l,i,t,a
g,u,h,i,t,$,V,PFOC,LGSPEC1	g,u,g,u,h,i,t,i,n
g,u,h,i,t,$,V,AGFOC,LGSPEC1	m,a,g,g,u,g,u,h,i,t
g,u,h,i,t,$,V,PFV,PFOC	g,i,n,u,h,i,t
g,u,h,i,t,$,V,IPFV,PFOC	g,i,n,u,g,u,h,i,t
g,u,h,i,t,$,V,PFV,AGFOC	n,a,g,g,u,h,i,t
g,u,h,i,t,$,V,NFIN	g,u,h,i,t
g,u,h,i,t,$,V,IPFV,AGFOC	n,a,g,g,u,g,u,h,i,t
m,á,s,i,d,$,V,PFV,PFOC	m,i,n,á,s,d,a,n
m,á,s,i,d,$,V,AGFOC,LGSPEC1	m,a,g,m,a,m,á,s,i,d
m,á,s,i,d,$,V,IPFV,AGFOC	n,a,g,m,a,m,á,s,i,d
m,á,s,i,d,$,V,NFIN	m,á,s,i,d
m,á,s,i,d,$,V,IPFV,PFOC	m,i,n,a,m,á,s,d,a,n
m,á,s,i,d,$,V,PFOC,LGSPEC1	m,a,m,á,s,d,a,n
m,á,s,i,d,$,V,PFV,AGFOC	n,a,g,m,á,s,i,d
s,u,r,i,',$,V,IPFV,PFOC	s,i,n,u,s,u,r,i,'
s,u,r,i,',$,V,PFOC,LGSPEC1	s,u,s,u,r,i,i,n
s,u,r,i,',$,V,AGFOC,LGSPEC1	m,a,g,s,u,s,u,r,i,'
s,u,r,i,',$,V,NFIN	s,u,r,i,'
s,u,r,i,',$,V,PFV,PFOC	s,i,n,u,r,i,'
s,u,r,i,',$,V,IPFV,AGFOC	n,a,g,s,u,s,u,r,i,'
s,u,r,i,',$,V,PFV,AGFOC	n,a,g,s,u,r,i,'
t,á,a,s,$,V,IPFV,AGFOC	n,a,g,t,a,t,á,a,s
t,á,a,s,$,V,NFIN	t,á,a,s
t,á,a,s,$,V,AGFOC,LGSPEC1	m,a,g,t,a,t,á,a,s
t,á,a,s,$,V,PFOC,LGSPEC1	t,a,t,á,a,s,i,n
t,á,a,s,$,V,PFV,AGFOC	n,a,g,t,á,a,s
t,á,a,s,$,V,PFV,PFOC	t,i,n,á,a,s
t,á,a,s,$,V,IPFV,PFOC	t,i,n,a,t,á,a,s
o,k,u,p,á,$,V,IPFV,PFOC	i,n,o,o,k,u,p,á
o,k,u,p,á,$,V,NFIN	o,k,u,p,á
o,k,u,p,á,$,V,PFV,AGFOC	n,a,g,-,o,k,u,p,á
o,k,u,p,á,$,V,PFOC,LGSPEC1	o,o,k,u,p,á,h,i,n
o,k,u,p,á,$,V,PFV,PFOC	i,n,o,k,u,p,á
o,k,u,p,á,$,V,AGFOC,LGSPEC1	m,a,g,-,o,o,k,u,p,á
o,k,u,p,á,$,V,IPFV,AGFOC	n,a,g,-,o,o,k,u,p,á
a,n,a,k,$,V,PFOC,LGSPEC1	i,p,a,p,a,n,g,a,n,a,k
a,n,a,k,$,V,IPFV,AGFOC	n,a,n,g,a,n,g,a,n,a,k
a,n,a,k,$,V,PFV,PFOC	i,p,i,n,a,n,g,a,n,a,k
a,n,a,k,$,V,PFV,AGFOC	n,a,n,g,a,n,a,k
a,n,a,k,$,V,NFIN	a,n,a,k
a,n,a,k,$,V,AGFOC,LGSPEC1	m,a,n,g,a,n,g,a,n,a,k
a,n,a,k,$,V,IPFV,PFOC	p,i,n,a,p,a,n,g,a,n,a,k
b,i,t,b,i,t,$,V,NFIN	b,i,t,b,i,t
b,i,t,b,i,t,$,V,PFV,PFOC	b,i,n,i,t,b,i,t
b,i,t,b,i,t,$,V,AGFOC,LGSPEC1	m,a,g,b,i,b,i,t,b,i,t
b,i,t,b,i,t,$,V,PFV,AGFOC	n,a,g,b,i,t,b,i,t
b,i,t,b,i,t,$,V,IPFV,PFOC	b,i,n,i,b,i,t,b,i,t
b,i,t,b,i,t,$,V,PFOC,LGSPEC1	b,i,b,i,t,b,i,t,i,n
b,i,t,b,i,t,$,V,IPFV,AGFOC	n,a,g,b,i,b,i,t,b,i,t
p,a,a,l,a,m,$,V,AGFOC,LGSPEC1	m,a,g,p,a,p,a,a,l,a,m
p,a,a,l,a,m,$,V,PFV,AGFOC	n,a,g,p,a,a,l,a,m
p,a,a,l,a,m,$,V,NFIN	p,a,a,l,a,m
p,a,a,l,a,m,$,V,IPFV,AGFOC	n,a,g,p,a,p,a,a,l,a,m
t,a,l,o,n,$,V,AGFOC,LGSPEC1	t,a,t,a,l,o,n
t,a,l,o,n,$,V,IPFV,PFOC	t,i,n,a,t,a,l,o,n
t,a,l,o,n,$,V,PFV,AGFOC	t,u,m,a,l,o,n
t,a,l,o,n,$,V,NFIN	t,a,l,o,n
t,a,l,o,n,$,V,PFV,PFOC	t,i,n,a,l,o,n
t,a,l,o,n,$,V,IPFV,AGFOC	t,u,m,a,t,a,l,o,n
t,a,l,o,n,$,V,PFOC,LGSPEC1	t,a,t,a,l,u,n,i,n
p,l,a,n,t,s,a,$,V,IPFV,AGFOC	n,a,g,p,a,p,l,a,n,t,s,a
p,l,a,n,t,s,a,$,V,NFIN	p,l,a,n,t,s,a
p,l,a,n,t,s,a,$,V,PFV,AGFOC	n,a,g,p,l,a,n,t,s,a
p,l,a,n,t,s,a,$,V,PFOC,LGSPEC1	p,a,p,l,a,n,t,s,a,h,i,n
p,l,a,n,t,s,a,$,V,AGFOC,LGSPEC1	m,a,g,p,l,a,p,l,a,n,t,s,a
p,l,a,n,t,s,a,$,V,IPFV,PFOC	p,i,n,a,p,l,a,n,t,s,a
p,l,a,n,t,s,a,$,V,PFV,PFOC	p,i,n,a,l,t,s,a
h,í,l,o,$,V,PFV,AGFOC	n,a,h,í,l,o
h,í,l,o,$,V,AGFOC,LGSPEC1	m,a,h,i,h,í,l,o
h,í,l,o,$,V,IPFV,AGFOC	n,a,h,i,h,í,l,o
h,í,l,o,$,V,NFIN	h,í,l,o
s,a,y,a,w,$,V,IPFV,AGFOC	s,u,m,a,s,a,y,a,w
s,a,y,a,w,$,V,PFV,PFOC	s,i,n,a,y,a,w
s,a,y,a,w,$,V,AGFOC,LGSPEC1	s,a,s,a,y,a,w
s,a,y,a,w,$,V,NFIN	s,a,y,a,w
s,a,y,a,w,$,V,PFOC,LGSPEC1	s,a,s,a,y,a,w,i,n
s,a,y,a,w,$,V,IPFV,PFOC	s,i,n,a,s,a,y,a,w
s,a,y,a,w,$,V,PFV,AGFOC	s,u,m,a,y,a,w
s,á,k,i,t,$,V,IPFV,AGFOC	s,u,m,a,s,á,k,i,t
s,á,k,i,t,$,V,PFV,AGFOC	n,a,s,á,k,t,a,n
s,á,k,i,t,$,V,AGFOC,LGSPEC1	s,a,s,á,k,i,t
s,á,k,i,t,$,V,PFV,PFOC	s,i,n,á,k,t,a,n
s,á,k,i,t,$,V,PFOC,LGSPEC1	s,a,s,á,k,t,a,n
s,á,k,i,t,$,V,NFIN	s,á,k,i,t
s,á,k,i,t,$,V,IPFV,PFOC	s,i,n,a,s,á,k,t,a,n
s,a,r,á,$,V,NFIN	s,a,r,á
s,a,r,á,$,V,PFOC,LGSPEC1	i,s,a,s,a,r,á
s,a,r,á,$,V,PFV,AGFOC	n,a,g,s,a,r,á
s,a,r,á,$,V,AGFOC,LGSPEC1	m,a,g,s,a,s,a,r,á
s,a,r,á,$,V,IPFV,PFOC	s,i,n,a,s,a,r,á
s,a,r,á,$,V,PFV,PFOC	s,i,n,a,r,á
s,a,r,á,$,V,IPFV,AGFOC	n,a,g,s,a,s,a,r,á
d,a,t,i,n,g, ,r,a,t,i,n,g,$,V,IPFV,AGFOC	d,u,m,a,r,a,t,i,n,g, ,n,a,r,a,r,a,t,i,n,g
d,a,t,i,n,g, ,r,a,t,i,n,g,$,V,AGFOC,LGSPEC1	d,a,r,a,t,i,n,g, ,m,a,r,a,r,a,t,i,n,g
d,a,t,i,n,g, ,r,a,t,i,n,g,$,V,NFIN	d,a,t,i,n,g, ,r,a,t,i,n,g
d,a,t,i,n,g, ,r,a,t,i,n,g,$,V,PFV,AGFOC	d,u,m,a,t,i,n,g, ,n,a,r,a,t,i,n,g
a,l,a,g,a,',$,V,IPFV,PFOC	i,n,a,a,l,a,g,a,a,n
a,l,a,g,a,',$,V,PFV,AGFOC	n,a,g,-,a,l,a,g,a,'
a,l,a,g,a,',$,V,PFV,PFOC	i,n,a,l,a,g,a,a,n
a,l,a,g,a,',$,V,IPFV,AGFOC	n,a,g,-,a,a,l,a,g,a,'
a,l,a,g,a,',$,V,NFIN	a,l,a,g,a,'
a,l,a,g,a,',$,V,AGFOC,LGSPEC1	m,a,g,-,a,a,l,a,g,a,'
a,l,a,g,a,',$,V,PFOC,LGSPEC1	a,a,l,a,g,a,a,n
i,n,i,s,$,V,PFV,PFOC	i,n,i,n,i,s
i,n,i,s,$,V,IPFV,AGFOC	n,a,n,g,-,i,i,n,i,s
i,n,i,s,$,V,PFV,AGFOC	n,a,n,g,-,i,n,i,s
i,n,i,s,$,V,PFOC,LGSPEC1	i,i,n,i,s,i,n
i,n,i,s,$,V,IPFV,PFOC	i,n,i,i,n,i,s
i,n,i,s,$,V,AGFOC,LGSPEC1	m,a,n,g,-,i,i,n,i,s
i,n,i,s,$,V,NFIN	i,n,i,s
l,a,b,a,s,$,V,AGFOC,LGSPEC1	m,a,g,l,a,l,a,b,a,s
l,a,b,a,s,$,V,PFOC,LGSPEC1	i,l,a,l,a,b,a,s
l,a,b,a,s,$,V,PFV,PFOC	n,i,l,a,b,a,s
l,a,b,a,s,$,V,NFIN	l,a,b,a,s
l,a,b,a,s,$,V,PFV,AGFOC	l,u,m,a,b,a,s
l,a,b,a,s,$,V,IPFV,AGFOC	l,u,m,a,l,a,b,a,s
l,a,b,a,s,$,V,IPFV,PFOC	n,i,l,a,l,a,b,a,s
l,a,b,a,s,$,V,PFV,AGFOC	n,a,g,l,a,b,a,s
s,a,g,o,t,$,V,NFIN	s,a,g,o,t
s,a,g,o,t,$,V,PFOC,LGSPEC1	s,a,s,a,g,u,t,i,n
s,a,g,o,t,$,V,AGFOC,LGSPEC1	s,a,s,a,g,o,t
s,a,g,o,t,$,V,PFV,PFOC	s,i,n,a,g,o,t
s,a,g,o,t,$,V,IPFV,PFOC	s,i,n,a,s,a,g,o,t
s,a,g,o,t,$,V,PFV,AGFOC	s,u,m,a,g,o,t
s,a,g,o,t,$,V,IPFV,AGFOC	s,u,m,a,s,a,g,o,t
l,a,g,a,y,$,V,IPFV,PFOC	n,i,l,a,l,a,g,a,y
l,a,g,a,y,$,V,PFV,PFOC	n,i,l,a,g,a,y
l,a,g,a,y,$,V,PFOC,LGSPEC1	i,l,a,l,a,g,a,y
l,a,g,a,y,$,V,IPFV,AGFOC	n,a,g,l,a,l,a,g,a,y
l,a,g,a,y,$,V,AGFOC,LGSPEC1	m,a,g,l,a,l,a,g,a,y
l,a,g,a,y,$,V,NFIN	l,a,g,a,y
l,a,g,a,y,$,V,PFV,AGFOC	n,a,g,l,a,g,a,y
i,b,i,g,$,V,PFV,AGFOC	u,m,i,b,i,g
i,b,i,g,$,V,AGFOC,LGSPEC1	i,i,b,i,g
i,b,i,g,$,V,NFIN	i,b,i,g
i,b,i,g,$,V,IPFV,PFOC	i,n,i,i,b,i,g
i,b,i,g,$,V,IPFV,AGFOC	u,m,i,i,b,i,g
i,b,i,g,$,V,PFOC,LGSPEC1	i,i,b,i,g,i,n
i,b,i,g,$,V,PFV,PFOC	i,n,i,b,i,g
s,i,e,s,t,a,$,V,IPFV,AGFOC	n,a,g,s,i,s,i,e,s,t,a
s,i,e,s,t,a,$,V,AGFOC,LGSPEC1	m,a,g,s,i,s,i,e,s,t,a
s,i,e,s,t,a,$,V,NFIN	s,i,e,s,t,a
s,i,e,s,t,a,$,V,PFV,AGFOC	n,a,g,s,i,e,s,t,a
p,a,l,a,k,p,a,k,$,V,IPFV,AGFOC	p,u,m,a,p,a,l,a,k,p,a,k
p,a,l,a,k,p,a,k,$,V,PFOC,LGSPEC1	p,a,p,a,l,a,k,p,a,k,a,n
p,a,l,a,k,p,a,k,$,V,NFIN	p,a,l,a,k,p,a,k
p,a,l,a,k,p,a,k,$,V,IPFV,PFOC	p,i,n,a,p,a,l,a,k,p,a,k,a,n
p,a,l,a,k,p,a,k,$,V,PFV,AGFOC	p,u,m,a,l,a,k,p,a,k
p,a,l,a,k,p,a,k,$,V,PFV,PFOC	p,i,n,a,l,a,k,p,a,k,a,n
p,a,l,a,k,p,a,k,$,V,AGFOC,LGSPEC1	p,a,p,a,l,a,k,p,a,k
ú,t,o,t,$,V,IPFV,AGFOC	u,m,u,ú,t,o,t
ú,t,o,t,$,V,AGFOC,LGSPEC1	u,ú,t,o,t
ú,t,o,t,$,V,PFV,AGFOC	u,m,ú,t,o,t
ú,t,o,t,$,V,IPFV,PFOC	i,n,u,ú,t,o,t
ú,t,o,t,$,V,PFOC,LGSPEC1	u,ú,t,u,t,i,n
ú,t,o,t,$,V,NFIN	ú,t,o,t
ú,t,o,t,$,V,PFV,PFOC	i,n,ú,t,o,t
s,a,l,i,t,a,',$,V,IPFV,PFOC	s,i,n,a,s,a,l,i,t,a,'
s,a,l,i,t,a,',$,V,PFV,PFOC	s,i,n,a,l,i,t,a,'
s,a,l,i,t,a,',$,V,AGFOC,LGSPEC1	m,a,g,s,a,s,a,l,i,t,a,'
s,a,l,i,t,a,',$,V,PFOC,LGSPEC1	s,a,s,a,l,i,t,a,i,n
s,a,l,i,t,a,',$,V,PFV,AGFOC	n,a,g,s,a,l,i,t,a,'
s,a,l,i,t,a,',$,V,IPFV,AGFOC	n,a,g,s,a,s,a,l,i,t,a,'
s,a,l,i,t,a,',$,V,NFIN	s,a,l,i,t,a,'
d,a,m,d,á,m,$,V,NFIN	d,a,m,d,á,m
d,a,m,d,á,m,$,V,PFV,AGFOC	n,a,g,d,a,m,d,á,m
d,a,m,d,á,m,$,V,AGFOC,LGSPEC1	m,a,g,d,a,r,a,m,d,á,m
d,a,m,d,á,m,$,V,IPFV,AGFOC	n,a,g,d,a,r,a,m,d,á,m
d,a,m,d,á,m,$,V,PFV,PFOC	d,i,n,a,m,d,á,m
d,a,m,d,á,m,$,V,PFOC,LGSPEC1	d,a,r,a,m,d,á,m,i,n
d,a,m,d,á,m,$,V,IPFV,PFOC	d,i,n,a,r,a,m,d,á,m
t,a,t,a,d,$,V,PFV,PFOC	t,i,n,a,d,t,a,d
t,a,t,a,d,$,V,PFOC,LGSPEC1	t,a,t,a,d,t,a,r,i,n
t,a,t,a,d,$,V,IPFV,PFOC	t,i,n,a,t,a,d,t,a,d
t,a,t,a,d,$,V,NFIN	t,a,t,a,d
t,a,t,a,d,$,V,PFV,AGFOC	n,a,g,t,a,d,t,a,d
t,a,t,a,d,$,V,AGFOC,LGSPEC1	m,a,g,t,a,t,a,d,t,a,d
t,a,t,a,d,$,V,IPFV,AGFOC	n,a,g,t,a,t,a,d,t,a,d
t,a,n,i,m,$,V,IPFV,AGFOC	n,a,g,t,a,t,a,n,i,m
t,a,n,i,m,$,V,NFIN	t,a,n,i,m
t,a,n,i,m,$,V,PFV,AGFOC	n,a,g,t,a,n,i,m
t,a,n,i,m,$,V,AGFOC,LGSPEC1	m,a,g,t,a,t,a,n,i,m
t,a,n,i,m,$,V,PFV,PFOC	t,i,n,a,n,i,m
t,a,n,i,m,$,V,IPFV,PFOC	t,i,n,a,t,a,n,i,m
t,a,n,i,m,$,V,PFOC,LGSPEC1	i,t,a,t,a,n,i,m
k,i,n,i,g,$,V,PFV,PFOC	p,i,n,a,k,i,n,g,g,a,n
k,i,n,i,g,$,V,AGFOC,LGSPEC1	m,a,k,i,k,i,n,i,g
k,i,n,i,g,$,V,PFV,AGFOC	n,a,k,i,n,i,g
k,i,n,i,g,$,V,PFOC,LGSPEC1	p,a,p,a,k,i,n,g,g,a,n
k,i,n,i,g,$,V,NFIN	k,i,n,i,g
k,i,n,i,g,$,V,IPFV,AGFOC	n,a,k,i,k,i,n,i,g
k,i,n,i,g,$,V,IPFV,PFOC	p,i,n,a,p,a,k,i,n,g,g,a,n
d,í,n,i,g,$,V,IPFV,AGFOC	n,a,d,i,d,i,n,i,g, ,n,a,r,i,r,i,n,i,g
d,í,n,i,g,$,V,AGFOC,LGSPEC1	m,a,d,i,d,i,n,i,g, ,m,a,r,i,r,i,n,i,g
d,í,n,i,g,$,V,NFIN	d,í,n,i,g
d,í,n,i,g,$,V,PFV,PFOC	d,i,n,i,n,i,g, ,d,i,n,i,r,i,g
d,í,n,i,g,$,V,PFV,AGFOC	n,a,d,i,n,i,g, ,n,a,r,i,n,i,g
d,í,n,i,g,$,V,PFOC,LGSPEC1	d,i,d,i,n,g,g,i,n, ,d,i,r,i,n,g,i,n,g,g,i,n
d,í,n,i,g,$,V,IPFV,PFOC	d,i,n,i,d,i,n,i,g, ,d,i,n,i,r,i,n,i,g
p,a,t,u,l,o,y,$,V,IPFV,AGFOC	n,a,g,p,a,p,a,t,u,l,o,y
p,a,t,u,l,o,y,$,V,PFV,AGFOC	n,a,g,p,a,t,u,l,o,y
p,a,t,u,l,o,y,$,V,NFIN	p,a,t,u,l,o,y
p,a,t,u,l,o,y,$,V,AGFOC,LGSPEC1	m,a,g,p,a,p,a,t,u,l,o,y
h,a,n,a,p,$,V,AGFOC,LGSPEC1	h,a,h,a,n,a,p
h,a,n,a,p,$,V,IPFV,AGFOC	h,u,m,a,h,a,n,a,p
h,a,n,a,p,$,V,PFOC,LGSPEC1	h,a,h,a,n,a,p,i,n
h,a,n,a,p,$,V,NFIN	h,a,n,a,p
h,a,n,a,p,$,V,IPFV,PFOC	h,i,n,a,h,a,n,a,p
h,a,n,a,p,$,V,PFV,AGFOC	h,u,m,a,n,a,p
h,a,n,a,p,$,V,PFV,PFOC	h,i,n,a,n,a,p
p,r,o,m,o,t,e,$,V,NFIN	p,r,o,m,o,t,e
p,r,o,m,o,t,e,$,V,PFOC,LGSPEC1	i,p,o,p,r,o,m,o,t,e
p,r,o,m,o,t,e,$,V,AGFOC,LGSPEC1	m,a,p,o,-,p,r,o,m,o,t,e
p,r,o,m,o,t,e,$,V,PFV,PFOC	p,i,n,r,o,m,o,t,e
