f,u,n,d,a,$,V,SG,1,FUT	n,g,i,y,o,f,u,n,d,a
f,u,n,d,a,$,V,SG,1,PRS	n,g,i,f,u,n,d,a
f,u,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,n,d,a
f,u,n,d,a,$,V,SG,1,PST+RCT	n,g,i,f,u,n,d,e
f,u,n,d,a,$,V,SG,1,PST+RMT	n,g,a,f,u,n,d,a
p,h,i,n,d,a,$,V,SG,1,PST+RMT	n,g,a,p,h,i,n,d,a
p,h,i,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,i,n,d,a
p,h,i,n,d,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,i,n,d,a
p,h,i,n,d,a,$,V,SG,1,PRS	n,g,i,p,h,i,n,d,a
p,h,i,n,d,a,$,V,SG,1,PST+RCT	n,g,i,p,h,i,n,d,e
v,a,l,a,$,V,SG,1,PST+RCT	n,g,i,v,a,l,e
v,a,l,a,$,V,SG,1,PRS	n,g,i,v,a,l,a
v,a,l,a,$,V,SG,1,PST+RMT	n,g,a,v,a,l,a
v,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,v,a,l,a
v,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,a,l,a
k,h,u,m,b,u,l,a,$,V,SG,1,PST+RCT	n,g,i,k,h,u,m,b,u,l,e
k,h,u,m,b,u,l,a,$,V,SG,1,PST+RMT	n,g,a,k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,u,m,b,u,l,a
t,h,e,n,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,e,n,g,a
t,h,e,n,g,a,$,V,SG,1,PST+RCT	n,g,i,t,h,e,n,g,e
t,h,e,n,g,a,$,V,SG,1,PST+RMT	n,g,a,t,h,e,n,g,a
t,h,e,n,g,a,$,V,SG,1,PRS	n,g,i,t,h,e,n,g,a
t,h,e,n,g,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,e,n,g,a
m,e,m,a,$,V,SG,1,PRS	n,g,i,m,e,m,a
m,e,m,a,$,V,SG,1,PST+RMT	n,g,a,m,e,m,a
m,e,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,e,m,a
m,e,m,a,$,V,SG,1,PST+RCT	n,g,i,m,e,m,e
m,e,m,a,$,V,SG,1,FUT	n,g,i,y,o,m,e,m,a
n,q,o,b,a,$,V,SG,1,PRS	n,g,i,y,a,n,q,o,b,a
n,q,o,b,a,$,V,SG,1,PST+RMT	n,g,a,n,q,o,b,a
n,q,o,b,a,$,V,SG,1,FUT	n,g,i,y,o,n,q,o,b,a
n,q,o,b,a,$,V,SG,1,PST+RCT	n,g,i,n,q,o,b,e
n,q,o,b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,q,o,b,a
s,h,o,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,h,o
s,h,o,$,V,SG,1,PST+RCT	n,g,i,s,h,l,o
s,h,o,$,V,SG,1,PRS	n,g,i,y,a,s,h,o
s,h,o,$,V,SG,1,FUT	n,g,i,y,o,s,h,o
s,h,o,$,V,SG,1,PST+RMT	n,g,a,s,h,o
t,h,a,t,h,a,$,V,SG,1,PRS	n,g,i,t,h,a,t,h,a
t,h,a,t,h,a,$,V,SG,1,PST+RCT	n,g,i,t,h,a,t,h,e
t,h,a,t,h,a,$,V,SG,1,PST+RMT	n,g,a,t,h,a,t,h,a
t,h,a,t,h,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,a,t,h,a
t,h,a,t,h,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,a,t,h,a
l,i,n,d,a,$,V,SG,1,PST+RCT	n,g,i,l,i,n,d,e
l,i,n,d,a,$,V,SG,1,PRS	n,g,i,y,a,l,i,n,d,a
l,i,n,d,a,$,V,SG,1,PST+RMT	n,g,a,l,i,n,d,a
l,i,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,i,n,d,a
l,i,n,d,a,$,V,SG,1,FUT	n,g,i,y,o,l,i,n,d,a
d,l,a,l,a,$,V,SG,1,PST+RMT	n,g,a,d,l,a,l,a
d,l,a,l,a,$,V,SG,1,PST+RCT	n,g,i,d,l,a,l,e
d,l,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,d,l,a,l,a
d,l,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,l,a,l,a
d,l,a,l,a,$,V,SG,1,PRS	n,g,i,d,l,a,l,a
c,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,u,l,a
c,u,l,a,$,V,SG,1,PST+RMT	n,g,a,c,u,l,a
c,u,l,a,$,V,SG,1,PRS	n,g,i,c,u,l,a
c,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,c,u,l,a
c,u,l,a,$,V,SG,1,PST+RCT	n,g,i,c,u,l,e
k,h,a,l,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,a,l,a
k,h,a,l,a,$,V,SG,1,PST+RMT	n,g,a,k,h,a,l,a
k,h,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,a,l,a
k,h,a,l,a,$,V,SG,1,PST+RCT	n,g,i,k,h,a,l,e
k,h,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,a,l,a
f,u,n,a,$,V,SG,1,PST+RCT	n,g,i,f,u,n,e
f,u,n,a,$,V,SG,1,PRS	n,g,i,f,u,n,a
f,u,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,n,a
f,u,n,a,$,V,SG,1,FUT	n,g,i,y,o,f,u,n,a
f,u,n,a,$,V,SG,1,PST+RMT	n,g,a,f,u,n,a
n,z,a,$,V,SG,1,PRS	n,g,e,n,z,a
n,z,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,a
n,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,z,a
n,z,a,$,V,SG,1,PST+RMT	n,g,e,n,z,a
n,z,a,$,V,SG,1,PST+RCT	n,g,e,n,z,e
c,a,b,a,n,g,a,$,V,SG,1,PRS	n,g,i,c,a,b,a,n,g,a
c,a,b,a,n,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,b,a,n,g,a
c,a,b,a,n,g,a,$,V,SG,1,PST+RCT	n,g,i,c,a,b,a,n,g,e
c,a,b,a,n,g,a,$,V,SG,1,PST+RMT	n,g,a,c,a,b,a,n,g,a
c,a,b,a,n,g,a,$,V,SG,1,FUT	n,g,i,y,o,c,a,b,a,n,g,a
h,l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RCT	n,g,i,h,l,a,l,e, ,p,h,a,n,s,i
h,l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,FUT	n,g,i,y,o,h,l,a,l,a, ,p,h,a,n,s,i
h,l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PRS	n,g,i,h,l,a,l,a, ,p,h,a,n,s,i
h,l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,a,l,a, ,p,h,a,n,s,i
h,l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RMT	n,g,a,h,l,a,l,a, ,p,h,a,n,s,i
t,h,o,l,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,o,l,a
t,h,o,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,o,l,a
t,h,o,l,a,$,V,SG,1,PST+RMT	n,g,a,t,h,o,l,a
t,h,o,l,a,$,V,SG,1,PRS	n,g,i,t,h,o,l,a
t,h,o,l,a,$,V,SG,1,PST+RCT	n,g,i,t,h,o,l,e
l,a,l,e,l,a,$,V,SG,1,PST+RMT	n,g,a,l,a,l,e,l,a
l,a,l,e,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,l,e,l,a
l,a,l,e,l,a,$,V,SG,1,PRS	n,g,i,l,a,l,e,l,a
l,a,l,e,l,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,e,l,a
l,a,l,e,l,a,$,V,SG,1,PST+RCT	n,g,i,l,a,l,e,l,e
t,h,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,u,m,a
t,h,u,m,a,$,V,SG,1,PST+RCT	n,g,i,t,h,u,m,e
t,h,u,m,a,$,V,SG,1,PST+RMT	n,g,a,t,h,u,m,a
t,h,u,m,a,$,V,SG,1,PRS	n,g,i,t,h,u,m,a
t,h,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,u,m,a
n,g,e,n,a,$,V,SG,1,PST+RCT	n,g,i,n,g,e,n,e
n,g,e,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,g,e,n,a
n,g,e,n,a,$,V,SG,1,PST+RMT	n,g,a,n,g,e,n,a
n,g,e,n,a,$,V,SG,1,FUT	n,g,i,y,o,n,g,e,n,a
n,g,e,n,a,$,V,SG,1,PRS	n,g,i,n,g,e,n,a
b,h,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,h,e,k,a
b,h,e,k,a,$,V,SG,1,PST+RCT	n,g,i,b,h,e,k,e
b,h,e,k,a,$,V,SG,1,PRS	n,g,i,b,h,e,k,a
b,h,e,k,a,$,V,SG,1,PST+RMT	n,g,a,b,h,e,k,a
b,h,e,k,a,$,V,SG,1,FUT	n,g,i,y,o,b,h,e,k,a
t,h,e,n,g,i,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,e,n,g,i,s,a
t,h,e,n,g,i,s,a,$,V,SG,1,PRS	n,g,i,t,h,e,n,g,i,s,a
t,h,e,n,g,i,s,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,e,n,g,i,s,a
t,h,e,n,g,i,s,a,$,V,SG,1,PST+RCT	n,g,i,t,h,e,n,g,i,s,e
t,h,e,n,g,i,s,a,$,V,SG,1,PST+RMT	n,g,a,t,h,e,n,g,i,s,a
f,a,$,V,SG,1,PRS	n,g,i,f,a
f,a,$,V,SG,1,PST+RMT	n,g,a,f,a
f,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,f,a
f,a,$,V,SG,1,PST+RCT	n,g,i,f,e
f,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,f,a
s,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,s,a,l,a
s,a,l,a,$,V,SG,1,PST+RMT	n,g,a,s,a,l,a
s,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,a,l,a
s,a,l,a,$,V,SG,1,PRS	n,g,i,s,a,l,a
s,a,l,a,$,V,SG,1,PST+RCT	n,g,i,s,a,l,e
n,d,a,$,V,SG,1,PST+RMT	n,g,a,n,d,a
n,d,a,$,V,SG,1,PST+RCT	n,g,i,y,a,n,d,e
n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,n,d,a
n,d,a,$,V,SG,1,PRS	n,g,i,n,d,a
n,d,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,n,d,a
s,e,b,e,n,z,a,$,V,SG,1,FUT	n,g,i,y,o,s,e,b,e,n,z,a
s,e,b,e,n,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,e,b,e,n,z,a
s,e,b,e,n,z,a,$,V,SG,1,PST+RMT	n,g,a,s,e,b,e,n,z,a
s,e,b,e,n,z,a,$,V,SG,1,PRS	n,g,i,s,e,b,e,n,z,a
s,e,b,e,n,z,a,$,V,SG,1,PST+RCT	n,g,i,s,e,b,e,n,z,e
z,i,s,a,$,V,SG,1,PRS	n,g,i,z,i,s,a
z,i,s,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,z,i,s,a
z,i,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,z,i,s,a
z,i,s,a,$,V,SG,1,PST+RMT	n,g,a,z,i,s,a
z,i,s,a,$,V,SG,1,PST+RCT	n,g,i,y,a,z,i,s,e
n,z,e,k,a,$,V,SG,1,PRS	n,g,e,n,z,e,k,a
n,z,e,k,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,e,k,a
n,z,e,k,a,$,V,SG,1,PST+RCT	n,g,e,n,z,e,k,e
n,z,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,z,e,k,a
n,z,e,k,a,$,V,SG,1,PST+RMT	n,g,a,n,z,e,k,a
k,h,u,l,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,u,l,u,m,a
k,h,u,l,u,m,a,$,V,SG,1,PST+RCT	n,g,i,k,h,u,l,u,m,e
k,h,u,l,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,u,l,u,m,a
k,h,u,l,u,m,a,$,V,SG,1,PRS	n,g,i,k,h,u,l,u,m,a
k,h,u,l,u,m,a,$,V,SG,1,PST+RMT	n,g,a,k,h,u,l,u,m,a
m,u,k,e,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,u,k,e,l,a
m,u,k,e,l,a,$,V,SG,1,PRS	n,g,i,m,u,k,e,l,a
m,u,k,e,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,m,u,k,e,l,a
m,u,k,e,l,a,$,V,SG,1,PST+RCT	n,g,i,y,a,m,u,k,e,l,e
m,u,k,e,l,a,$,V,SG,1,PST+RMT	n,g,a,m,u,k,e,l,a
s,h,a,y,e,l,a,$,V,SG,1,FUT	n,g,i,y,o,s,h,a,y,e,l,a
s,h,a,y,e,l,a,$,V,SG,1,PRS	n,g,i,s,h,a,y,e,l,a
s,h,a,y,e,l,a,$,V,SG,1,PST+RCT	n,g,i,s,h,a,y,e,l,e
s,h,a,y,e,l,a,$,V,SG,1,PST+RMT	n,g,a,s,h,a,y,e,l,a
s,h,a,y,e,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,h,a,y,e,l,a
n,a,k,a,$,V,SG,1,PRS	n,g,i,n,a,k,a
n,a,k,a,$,V,SG,1,PST+RCT	n,g,i,n,a,k,e
n,a,k,a,$,V,SG,1,FUT	n,g,i,y,o,n,a,k,a
n,a,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,a,k,a
n,a,k,a,$,V,SG,1,PST+RMT	n,g,a,n,a,k,a
q,a,l,a,$,V,SG,1,PST+RCT	n,g,i,q,a,l,e
q,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,q,a,l,a
q,a,l,a,$,V,SG,1,PRS	n,g,i,q,a,l,a
q,a,l,a,$,V,SG,1,PST+RMT	n,g,a,q,a,l,a
q,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,a,l,a
f,a,k,a,$,V,SG,1,PRS	n,g,i,f,a,k,a
f,a,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,a,k,a
f,a,k,a,$,V,SG,1,PST+RCT	n,g,i,f,a,k,e
f,a,k,a,$,V,SG,1,PST+RMT	n,g,a,f,a,k,a
f,a,k,a,$,V,SG,1,FUT	n,g,i,y,o,f,a,k,a
h,l,e,k,a,$,V,SG,1,PST+RCT	n,g,i,h,l,e,k,e
h,l,e,k,a,$,V,SG,1,PST+RMT	n,g,a,h,l,e,k,a
h,l,e,k,a,$,V,SG,1,FUT	n,g,i,y,o,h,l,e,k,a
h,l,e,k,a,$,V,SG,1,PRS	n,g,i,y,a,h,l,e,k,a
h,l,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,e,k,a
q,e,d,a,$,V,SG,1,PST+RMT	n,g,a,q,e,d,a
q,e,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,e,d,a
q,e,d,a,$,V,SG,1,FUT	n,g,i,y,o,q,e,d,a
q,e,d,a,$,V,SG,1,PRS	n,g,i,q,e,d,a
q,e,d,a,$,V,SG,1,PST+RCT	n,g,i,q,e,d,e
p,h,i,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,i,l,a
p,h,i,l,a,$,V,SG,1,PST+RCT	n,g,i,p,h,i,l,e
p,h,i,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,i,l,a
p,h,i,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,i,l,a
p,h,i,l,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,i,l,a
b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,b,a
b,a,$,V,SG,1,PST+RMT	n,g,a,b,a
b,a,$,V,SG,1,PST+RCT	n,g,i,b,e
b,a,$,V,SG,1,PRS	n,g,i,b,a
b,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,b,a
l,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,l,a
l,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,a
l,a,l,a,$,V,SG,1,PST+RMT	n,g,a,l,a,l,a
l,a,l,a,$,V,SG,1,PRS	n,g,i,y,a,l,a,l,a
l,a,l,a,$,V,SG,1,PST+RCT	n,g,i,l,a,l,e
g,i,j,i,m,a,$,V,SG,1,PST+RCT	n,g,i,g,i,j,i,m,e
g,i,j,i,m,a,$,V,SG,1,PRS	n,g,i,y,a,g,i,j,i,m,a
g,i,j,i,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,i,j,i,m,a
g,i,j,i,m,a,$,V,SG,1,PST+RMT	n,g,a,g,i,j,i,m,a
g,i,j,i,m,a,$,V,SG,1,FUT	n,g,i,y,o,g,i,j,i,m,a
b,h,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,h,a,l,a
b,h,a,l,a,$,V,SG,1,PST+RCT	n,g,i,b,h,a,l,e
b,h,a,l,a,$,V,SG,1,PRS	n,g,i,b,h,a,l,a
b,h,a,l,a,$,V,SG,1,PST+RMT	n,g,a,b,h,a,l,a
b,h,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,b,h,a,l,a
d,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,d,l,a
d,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,d,l,a
d,l,a,$,V,SG,1,PST+RCT	n,g,i,d,l,e
d,l,a,$,V,SG,1,PRS	n,g,i,d,l,a
d,l,a,$,V,SG,1,PST+RMT	n,g,a,d,l,a
p,h,e,f,u,m,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,e,f,u,m,u,l,a
p,h,e,f,u,m,u,l,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,e,f,u,m,u,l,a
p,h,e,f,u,m,u,l,a,$,V,SG,1,PST+RCT	n,g,i,p,h,e,f,u,m,u,l,e
p,h,e,f,u,m,u,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,e,f,u,m,u,l,a
p,h,e,f,u,m,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,e,f,u,m,u,l,a
w,a,$,V,SG,1,PST+RMT	n,g,a,w,a
w,a,$,V,SG,1,PST+RCT	n,g,i,w,e
w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,w,a
w,a,$,V,SG,1,PRS	n,g,i,w,a
w,a,$,V,SG,1,FUT	n,g,i,y,o,w,a
p,h,u,z,a,$,V,SG,1,PST+RMT	n,g,a,p,h,u,z,a
p,h,u,z,a,$,V,SG,1,PRS	n,g,i,p,h,u,z,a
p,h,u,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,u,z,a
p,h,u,z,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,u,z,a
p,h,u,z,a,$,V,SG,1,PST+RCT	n,g,i,p,h,u,z,e
t,h,i,n,t,a,$,V,SG,1,PST+RCT	n,g,i,t,h,i,n,t,e
t,h,i,n,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,i,n,t,a
t,h,i,n,t,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,i,n,t,a
t,h,i,n,t,a,$,V,SG,1,PST+RMT	n,g,a,t,h,i,n,t,a
t,h,i,n,t,a,$,V,SG,1,PRS	n,g,i,t,h,i,n,t,a
l,a,h,l,e,k,e,l,w,a,$,V,SG,1,PST+RCT	n,g,i,l,a,h,l,e,k,e,l,w,e
l,a,h,l,e,k,e,l,w,a,$,V,SG,1,PRS	n,g,i,l,a,h,l,e,k,e,l,w,a
l,a,h,l,e,k,e,l,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,h,l,e,k,e,l,w,a
l,a,h,l,e,k,e,l,w,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,h,l,e,k,e,l,w,a
l,a,h,l,e,k,e,l,w,a,$,V,SG,1,PST+RMT	n,g,a,l,a,h,l,e,k,e,l,w,a
l,w,a,$,V,SG,1,PST+RCT	n,g,i,l,w,e
l,w,a,$,V,SG,1,PRS	n,g,i,l,w,a
l,w,a,$,V,SG,1,PST+RMT	n,g,a,l,w,a
l,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,l,w,a
l,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,l,w,a
s,u,k,u,m,a,$,V,SG,1,PRS	n,g,i,s,u,k,u,m,a
s,u,k,u,m,a,$,V,SG,1,PST+RMT	n,g,a,s,u,k,u,m,a
s,u,k,u,m,a,$,V,SG,1,PST+RCT	n,g,i,s,u,k,u,m,e
s,u,k,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,u,k,u,m,a
s,u,k,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,s,u,k,u,m,a
p,h,e,n,d,u,l,a,$,V,SG,1,PRS	n,g,i,p,h,e,n,d,u,l,a
p,h,e,n,d,u,l,a,$,V,SG,1,PST+RCT	n,g,i,p,h,e,n,d,u,l,e
p,h,e,n,d,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,e,n,d,u,l,a
p,h,e,n,d,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,e,n,d,u,l,a
p,h,e,n,d,u,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,e,n,d,u,l,a
q,o,n,d,a,$,V,SG,1,FUT	n,g,i,y,o,q,o,n,d,a
q,o,n,d,a,$,V,SG,1,PST+RCT	n,g,i,q,o,n,d,e
q,o,n,d,a,$,V,SG,1,PRS	n,g,i,y,a,q,o,n,d,a
q,o,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,o,n,d,a
q,o,n,d,a,$,V,SG,1,PST+RMT	n,g,a,q,o,n,d,a
b,o,n,a,k,a,l,a,$,V,SG,1,PST+RMT	n,g,a,b,o,n,a,k,a,l,a
b,o,n,a,k,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,b,o,n,a,k,a,l,a
b,o,n,a,k,a,l,a,$,V,SG,1,PRS	n,g,i,b,o,n,a,k,a,l,a
b,o,n,a,k,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,o,n,a,k,a,l,a
b,o,n,a,k,a,l,a,$,V,SG,1,PST+RCT	n,g,i,b,o,n,a,k,a,l,e
c,h,a,s,i,s,a,$,V,SG,1,PST+RCT	n,g,i,c,h,a,s,i,s,e
c,h,a,s,i,s,a,$,V,SG,1,PRS	n,g,i,c,h,a,s,i,s,a
c,h,a,s,i,s,a,$,V,SG,1,PST+RMT	n,g,a,c,h,a,s,i,s,a
c,h,a,s,i,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,h,a,s,i,s,a
c,h,a,s,i,s,a,$,V,SG,1,FUT	n,g,i,y,o,c,h,a,s,i,s,a
h,l,a,n,g,a,n,a,$,V,SG,1,PRS	n,g,i,h,l,a,n,g,a,n,a
h,l,a,n,g,a,n,a,$,V,SG,1,PST+RCT	n,g,i,h,l,a,n,g,a,n,e
h,l,a,n,g,a,n,a,$,V,SG,1,FUT	n,g,i,y,o,h,l,a,n,g,a,n,a
h,l,a,n,g,a,n,a,$,V,SG,1,PST+RMT	n,g,a,h,l,a,n,g,a,n,a
h,l,a,n,g,a,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,a,n,g,a,n,a
p,h,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,u,m,a
p,h,u,m,a,$,V,SG,1,PRS	n,g,i,p,h,u,m,a
p,h,u,m,a,$,V,SG,1,PST+RMT	n,g,a,p,h,u,m,a
p,h,u,m,a,$,V,SG,1,PST+RCT	n,g,i,p,h,u,m,e
p,h,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,u,m,a
z,w,a,$,V,SG,1,PST+RCT	n,g,i,z,w,e
z,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,z,w,a
z,w,a,$,V,SG,1,PST+RMT	n,g,a,z,w,a
z,w,a,$,V,SG,1,PRS	n,g,i,y,e,z,w,a
z,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,z,w,a
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RMT	n,g,a,l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RCT	n,g,i,l,e,l,e, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PRS	n,g,i,l,a,l,a, ,p,h,a,n,s,i
v,u,l,a,$,V,SG,1,PST+RCT	n,g,i,v,u,l,e
v,u,l,a,$,V,SG,1,PRS	n,g,i,v,u,l,a
v,u,l,a,$,V,SG,1,PST+RMT	n,g,a,v,u,l,a
v,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,v,u,l,a
v,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,u,l,a
v,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,v,u,m,a
v,u,m,a,$,V,SG,1,PST+RMT	n,g,a,v,u,m,a
v,u,m,a,$,V,SG,1,PRS	n,g,i,v,u,m,a
v,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,u,m,a
v,u,m,a,$,V,SG,1,PST+RCT	n,g,i,v,u,m,e